station,phase,C,n_obs
7A.W01,P,0.9160642415273491,6
7A.W01,S,-0.7186449168151999,12
7A.W02,P,0.8932731636990704,13
7A.W02,S,-0.19836149733711736,19
7A.W03,P,-0.40940177947802875,12
7A.W03,S,-0.4439593837272858,19
7A.W04,P,-0.6532529267825017,9
7A.W04,S,-0.4636188815203187,13
7A.W06,P,-0.9143062640363696,7
7A.W06,S,-0.6823489823275194,11
7A.W07,P,-0.6440669788470512,6
7A.W07,S,-1.132043896544524,7
7A.W08,P,-1.1128462275364164,5
7A.W08,S,-0.9582422336664735,8
7A.W10,P,-1.023209275488614,4
7A.W10,S,-0.7728316298729648,11
7D.FC03D,P,-0.7883197479514378,128
7D.FC03D,S,-0.9304065501517005,553
7D.FN01C,P,-0.3742513184662665,194
7D.FN01C,S,-1.0221312812915773,168
7D.FN02C,P,-0.6473180865550742,162
7D.FN02C,S,-1.1567769886870385,151
7D.FN03C,P,-0.7872463640809815,250
7D.FN03C,S,-0.5224045501088528,244
7D.FN04C,P,-0.9418052295753687,264
7D.FN04C,S,-0.6917000279073845,320
7D.FN05C,P,-0.9332583652491455,166
7D.FN05C,S,-0.7070659885759345,221
7D.FN07A,P,-0.49578730553882777,471
7D.FN07A,S,-0.9118869226577477,550
7D.FN07C,P,-1.0097863254786572,336
7D.FN07C,S,-0.5876393690740868,431
7D.FN08A,P,-0.09439121911291426,226
7D.FN08A,S,-0.38728735027465483,247
7D.FN08C,P,-0.7655812332545866,222
7D.FN08C,S,-0.37932587674473023,221
7D.FN09C,P,-0.5912866720874602,192
7D.FN09C,S,-0.6741806254814295,284
7D.FN10C,P,-0.40870579566670084,95
7D.FN10C,S,-0.5053015439282056,159
7D.FN11C,P,-0.1328914205473038,203
7D.FN11C,S,-0.6391965998215389,229
7D.FN12A,P,-0.4133100627308318,90
7D.FN12A,S,-0.2703896755155427,142
7D.FN12C,P,-0.8203215672895582,260
7D.FN12C,S,-0.8131561817795483,272
7D.FN13C,P,-0.494074389228067,195
7D.FN13C,S,-0.27519839372836874,187
7D.FN14A,P,-0.35310210883044485,278
7D.FN14A,S,-0.4050856224813051,246
7D.FN14C,P,-0.410231469446878,117
7D.FN14C,S,-0.5053321949309845,216
7D.FN16A,P,-0.3758948837098487,90
7D.FN16A,S,-0.15161323731537416,236
7D.FN17C,P,-0.5735650968136214,5
7D.FN17C,S,-0.5378735807644474,5
7D.FN18A,P,-0.6522170899707287,306
7D.FN18A,S,-0.16667784726603213,328
7D.FN19C,P,-0.8582186205669997,162
7D.FN19C,S,0.5069512059386563,265
7D.FS01B,P,-0.9024692311511765,2037
7D.FS01B,S,-0.44707047360094976,3175
7D.FS02B,P,-0.5099201390831521,902
7D.FS02B,S,-0.5477256444358898,2063
7D.FS02D,P,-0.6070483723858832,1636
7D.FS02D,S,-0.686375679723181,2569
7D.FS04B,P,-0.9607150190727323,977
7D.FS04B,S,-1.0770378255364395,1496
7D.FS04D,P,-0.7959603739843878,1239
7D.FS04D,S,-0.5892638557709358,2271
7D.FS05B,P,-0.47511417110025295,939
7D.FS05B,S,-0.22533373374634738,2008
7D.FS06B,P,0.3235118265264467,683
7D.FS06B,S,-0.9734021540766998,1986
7D.FS06D,P,-0.40427800558041205,2075
7D.FS06D,S,-0.07987776627687841,5059
7D.FS07B,P,-0.5171568609001241,139
7D.FS07B,S,-0.601505942091446,264
7D.FS07D,P,0.6221240289226118,1508
7D.FS07D,S,-1.104559750403876,3620
7D.FS08D,P,-0.7277397096529529,817
7D.FS08D,S,0.18596867824139499,2048
7D.FS09B,P,-0.7790054633746324,944
7D.FS09B,S,0.5938545995930834,2588
