,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-15T00:00:00.002500Z, , , , , ,,2012-10-15T00:01:55.192500Z
1, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-15T00:00:00.002500Z, , , , , ,,2012-10-15T00:21:32.632500Z
2, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-15T00:00:00.002500Z, , , , , ,,2012-10-15T00:39:51.432500Z
3, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-15T00:00:00.002500Z, , , , , ,,2012-10-15T00:43:20.842500Z
4, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-15T00:00:00.002500Z, , , , , ,,2012-10-15T01:04:58.492500Z
5, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-15T00:00:00.002500Z, , , , , ,,2012-10-15T01:06:03.012500Z
6, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-15T00:00:00.002500Z, , , , , ,,2012-10-15T01:09:26.172500Z
7, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-15T00:00:00.002500Z, , , , , ,,2012-10-15T01:10:26.612500Z
8, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-15T00:00:00.002500Z, , , , , ,,2012-10-15T01:49:22.872500Z
9, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-15T00:00:00.002500Z, , , , , ,,2012-10-15T01:56:18.282500Z
10, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-15T00:00:00.002500Z, , , , , ,,2012-10-15T02:34:29.132500Z
11, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-15T00:00:00.002500Z, , , , , ,,2012-10-15T03:19:48.342500Z
12, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-15T00:00:00.002500Z, , , , , ,,2012-10-15T04:05:34.062500Z
13, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-15T00:00:00.002500Z, , , , , ,,2012-10-15T04:14:51.932500Z
14, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-15T00:00:00.002500Z, , , , , ,,2012-10-15T04:21:11.202500Z
15, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-15T00:00:00.002500Z, , , , , ,,2012-10-15T04:22:32.282500Z
16, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-15T00:00:00.002500Z, , , , , ,,2012-10-15T06:48:19.352500Z
