,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-10-20T00:00:00.015000Z, , , , , ,,2012-10-20T00:56:55.915000Z
1, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-10-20T00:00:00.015000Z, , , , , ,,2012-10-20T02:55:36.390000Z
2, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-10-20T00:00:00.015000Z, , , , , ,,2012-10-20T11:30:53.165000Z
3, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-10-20T00:00:00.015000Z, , , , , ,,2012-10-20T13:47:32.415000Z
4, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-10-20T00:00:00.015000Z, , , , , ,,2012-10-20T16:47:22.440000Z
5, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-10-20T00:00:00.015000Z, , , , , ,,2012-10-20T20:14:41.290000Z
6, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-10-20T00:00:00.015000Z, , , , , ,,2012-10-20T23:45:48.915000Z
7, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-10-20T00:00:00.015000Z, , , , , ,2012-10-20T00:34:27.690000Z,
8, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-10-20T00:00:00.015000Z, , , , , ,2012-10-20T02:55:36.840000Z,
9, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-10-20T00:00:00.015000Z, , , , , ,2012-10-20T02:56:24.840000Z,
10, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-10-20T00:00:00.015000Z, , , , , ,2012-10-20T03:48:02.940000Z,
11, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-10-20T00:00:00.015000Z, , , , , ,2012-10-20T04:10:23.140000Z,
12, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-10-20T00:00:00.015000Z, , , , , ,2012-10-20T05:21:06.590000Z,
13, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-10-20T00:00:00.015000Z, , , , , ,2012-10-20T12:11:22.940000Z,
14, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-10-20T00:00:00.015000Z, , , , , ,2012-10-20T15:51:36.540000Z,
15, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-10-20T00:00:00.015000Z, , , , , ,2012-10-20T19:27:17.490000Z,
16, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-10-20T00:00:00.015000Z, , , , , ,2012-10-20T20:50:13.240000Z,
17, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-10-20T00:00:00.015000Z, , , , , ,2012-10-20T23:11:19.540000Z,
18, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-10-20T00:00:00.015000Z, , , , , ,2012-10-20T23:46:36.365000Z,
