,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-10-31T18:55:57.525000Z, , , , , ,,2012-10-31T19:07:37.600000Z
1, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-10-31T18:55:57.525000Z, , , , , ,,2012-10-31T20:05:48.625000Z
2, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-10-31T18:55:57.525000Z, , , , , ,,2012-10-31T20:17:49.225000Z
3, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-10-31T18:55:57.525000Z, , , , , ,,2012-10-31T21:35:37.475000Z
4, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-10-31T18:55:57.525000Z, , , , , ,,2012-10-31T21:44:49.475000Z
5, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-10-31T18:55:57.525000Z, , , , , ,,2012-10-31T22:59:48.650000Z
6, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-10-31T18:55:57.525000Z, , , , , ,,2012-10-31T23:09:27.400000Z
7, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-10-31T18:55:57.525000Z, , , , , ,,2012-10-31T23:22:58.325000Z
8, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-10-31T18:55:57.525000Z, , , , , ,,2012-10-31T23:24:58.675000Z
9, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-10-31T18:55:57.525000Z, , , , , ,,2012-10-31T23:29:18.575000Z
10, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-10-31T18:55:57.525000Z, , , , , ,,2012-10-31T23:38:24.750000Z
11, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-10-31T18:55:57.525000Z, , , , , ,,2012-10-31T23:39:53.400000Z
12, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-10-31T18:55:57.525000Z, , , , , ,2012-10-31T20:17:49.925000Z,
13, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-10-31T18:55:57.525000Z, , , , , ,2012-10-31T20:33:50.650000Z,
14, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-10-31T18:55:57.525000Z, , , , , ,2012-10-31T21:44:50.425000Z,
