,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,,2012-10-08T00:46:10.565000Z
1, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,,2012-10-08T06:09:18.665000Z
2, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,,2012-10-08T08:49:54.890000Z
3, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,,2012-10-08T09:22:19.215000Z
4, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,,2012-10-08T11:08:09.365000Z
5, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,,2012-10-08T11:45:25.715000Z
6, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,,2012-10-08T14:31:43.840000Z
7, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,,2012-10-08T14:35:45.490000Z
8, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,,2012-10-08T15:19:10.640000Z
9, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,,2012-10-08T16:22:18.040000Z
10, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,,2012-10-08T16:59:44.440000Z
11, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,,2012-10-08T17:31:49.215000Z
12, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,,2012-10-08T18:58:13.890000Z
13, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,,2012-10-08T22:01:38.015000Z
14, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,,2012-10-08T23:39:51.665000Z
15, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,2012-10-08T02:06:17.065000Z,
16, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,2012-10-08T04:26:27.515000Z,
17, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,2012-10-08T11:45:31.590000Z,
18, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,2012-10-08T11:57:56.290000Z,
19, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,2012-10-08T12:42:14.115000Z,
20, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,2012-10-08T13:06:42.290000Z,
21, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,2012-10-08T14:35:48.415000Z,
22, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,2012-10-08T15:40:27.590000Z,
23, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,2012-10-08T16:22:28.840000Z,
24, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,2012-10-08T17:54:00.565000Z,
25, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,2012-10-08T18:50:08.740000Z,
26, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,2012-10-08T19:59:56.715000Z,
27, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,2012-10-08T20:32:00.090000Z,
28, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-10-08T00:00:00.015000Z, , , , , ,2012-10-08T21:23:50.865000Z,
