,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:01:49.230300Z
1, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:08:16.350300Z
2, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:13:50.870300Z
3, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:14:07.766300Z
4, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:15:28.790300Z
5, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:16:42.454300Z
6, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:18:30.710300Z
7, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:23:26.686300Z
8, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:29:48.478300Z
9, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:30:09.510300Z
10, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:40:18.950300Z
11, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:42:20.054300Z
12, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:43:45.110300Z
13, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:46:54.766300Z
14, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:48:26.542300Z
15, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:49:05.798300Z
16, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:49:58.558300Z
17, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:50:36.566300Z
18, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:51:21.286300Z
19, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-18T00:00:00.006300Z, , , , , ,,2012-10-18T00:52:10.958300Z
