,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T00:03:23.166400Z
1, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T00:44:33.230400Z
2, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T01:49:30.870400Z
3, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T02:03:03.566400Z
4, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T02:07:19.166400Z
5, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T02:27:08.550400Z
6, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T04:15:39.302400Z
7, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T04:23:50.510400Z
8, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T04:47:24.462400Z
9, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T05:00:15.982400Z
10, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T05:07:25.718400Z
11, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T05:14:28.718400Z
12, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T05:30:39.950400Z
13, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T05:45:10.438400Z
14, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T06:00:55.198400Z
15, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T06:24:57.030400Z
16, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T06:26:21.462400Z
17, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T06:37:10.990400Z
18, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T06:40:51.062400Z
19, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T06:45:50.126400Z
20, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T06:49:38.614400Z
21, , ,7D, ,G34B,,42.555401,-125.200996,-2954.0, ,125.0,2012-10-31T00:00:00.006400Z, , , , , ,,2012-10-31T06:59:47.798400Z
