,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T00:02:57.278698Z
1, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T00:17:12.678698Z
2, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T01:08:46.418698Z
3, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T01:13:41.958698Z
4, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T01:19:17.438698Z
5, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T02:07:49.578698Z
6, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T02:18:22.398698Z
7, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T02:31:28.278698Z
8, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T02:48:44.818698Z
9, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T03:07:19.878698Z
10, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T04:01:48.978698Z
11, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T04:04:34.218698Z
12, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T04:49:13.598698Z
13, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T05:01:52.058698Z
14, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T05:13:41.058698Z
15, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T05:26:19.518698Z
16, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T05:34:58.078698Z
17, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T05:43:43.638698Z
18, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T05:51:40.858698Z
19, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T06:03:29.538698Z
20, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T06:11:15.398698Z
21, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T06:31:00.118698Z
22, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T06:53:15.098698Z
23, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T06:58:53.938698Z
24, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T07:05:26.198698Z
25, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T07:12:25.878698Z
26, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T07:48:48.118698Z
27, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T08:24:20.178698Z
28, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T08:27:31.038698Z
29, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T08:43:50.438698Z
30, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T08:58:02.638698Z
31, , ,7D, ,G36B2,,42.5994,-126.903801,-2423.0, ,50.0,2012-10-05T00:00:00.018698Z, , , , , ,,2012-10-05T09:03:25.818698Z
