,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,TA, ,I03D,,43.697201,-123.348701,140.0, ,40.0,2012-10-31T00:00:00.000000Z, , , , , ,,2012-10-31T01:05:14.650000Z
1, , ,TA, ,I03D,,43.697201,-123.348701,140.0, ,40.0,2012-10-31T00:00:00.000000Z, , , , , ,,2012-10-31T01:56:48.650000Z
2, , ,TA, ,I03D,,43.697201,-123.348701,140.0, ,40.0,2012-10-31T00:00:00.000000Z, , , , , ,,2012-10-31T03:13:40.825000Z
3, , ,TA, ,I03D,,43.697201,-123.348701,140.0, ,40.0,2012-10-31T00:00:00.000000Z, , , , , ,,2012-10-31T07:35:00.125000Z
4, , ,TA, ,I03D,,43.697201,-123.348701,140.0, ,40.0,2012-10-31T00:00:00.000000Z, , , , , ,,2012-10-31T09:16:55.700000Z
5, , ,TA, ,I03D,,43.697201,-123.348701,140.0, ,40.0,2012-10-31T00:00:00.000000Z, , , , , ,,2012-10-31T09:37:58.050000Z
6, , ,TA, ,I03D,,43.697201,-123.348701,140.0, ,40.0,2012-10-31T00:00:00.000000Z, , , , , ,,2012-10-31T15:30:37.225000Z
7, , ,TA, ,I03D,,43.697201,-123.348701,140.0, ,40.0,2012-10-31T00:00:00.000000Z, , , , , ,,2012-10-31T16:07:50.525000Z
8, , ,TA, ,I03D,,43.697201,-123.348701,140.0, ,40.0,2012-10-31T00:00:00.000000Z, , , , , ,,2012-10-31T21:41:35.000000Z
9, , ,TA, ,I03D,,43.697201,-123.348701,140.0, ,40.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T00:34:55.950000Z,
10, , ,TA, ,I03D,,43.697201,-123.348701,140.0, ,40.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T02:08:07.900000Z,
11, , ,TA, ,I03D,,43.697201,-123.348701,140.0, ,40.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T03:13:42.725000Z,
12, , ,TA, ,I03D,,43.697201,-123.348701,140.0, ,40.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T04:10:00.775000Z,
13, , ,TA, ,I03D,,43.697201,-123.348701,140.0, ,40.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T05:18:33.875000Z,
14, , ,TA, ,I03D,,43.697201,-123.348701,140.0, ,40.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T09:42:34.925000Z,
15, , ,TA, ,I03D,,43.697201,-123.348701,140.0, ,40.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T12:28:23.800000Z,
16, , ,TA, ,I03D,,43.697201,-123.348701,140.0, ,40.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T13:36:44.675000Z,
17, , ,TA, ,I03D,,43.697201,-123.348701,140.0, ,40.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T14:52:23.425000Z,
18, , ,TA, ,I03D,,43.697201,-123.348701,140.0, ,40.0,2012-10-31T00:00:00.000000Z, , , , , ,2012-10-31T21:41:37.400000Z,
