,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T03:56:33.282298Z
1, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T06:09:43.042298Z
2, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T06:16:27.122298Z
3, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T07:34:42.602298Z
4, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T08:17:13.882298Z
5, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T10:17:15.722298Z
6, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T11:03:03.062298Z
7, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T11:14:44.642298Z
8, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T11:34:59.342298Z
9, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T11:42:17.722298Z
10, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T11:45:18.842298Z
11, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T11:53:16.442298Z
12, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T13:03:18.482298Z
13, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T13:03:53.462298Z
14, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T13:30:57.682298Z
15, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T13:51:21.262298Z
16, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T14:11:13.162298Z
17, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T15:31:52.302298Z
18, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T15:38:54.482298Z
19, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T19:00:17.962298Z
20, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T19:00:44.882298Z
21, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T19:10:04.242298Z
22, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T19:12:12.522298Z
23, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T19:36:37.882298Z
24, , ,7D, ,J11B,,43.541401,-126.367302,-3030.0, ,50.0,2012-10-29T00:00:00.002298Z, , , , , ,,2012-10-29T20:10:06.062298Z
