,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T00:05:50.808393Z
1, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T00:12:10.258393Z
2, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T00:38:28.258393Z
3, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T00:54:53.858393Z
4, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T01:14:44.848393Z
5, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T01:20:11.858393Z
6, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T01:22:56.578393Z
7, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T01:28:23.118393Z
8, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T01:36:57.788393Z
9, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T01:37:25.168393Z
10, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T01:37:55.598393Z
11, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T01:38:23.168393Z
12, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T01:55:05.998393Z
13, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T02:01:10.578393Z
14, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T02:43:23.118393Z
15, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T03:23:32.738393Z
16, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T05:02:53.988393Z
17, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T05:40:58.618393Z
18, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T05:41:58.758393Z
19, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T06:38:38.018393Z
20, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T07:05:46.588393Z
21, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T09:23:41.968393Z
22, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T09:41:16.088393Z
23, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T10:30:07.948393Z
24, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T10:44:54.998393Z
25, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T11:45:30.448393Z
26, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T15:09:23.578393Z
27, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T15:14:25.778393Z
28, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T15:20:47.058393Z
29, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T15:44:38.438393Z
30, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T16:06:34.478393Z
31, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T16:35:54.538393Z
32, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T16:49:27.188393Z
33, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T16:49:53.908393Z
34, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T16:55:37.598393Z
35, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T16:56:36.488393Z
36, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T17:06:23.278393Z
37, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T17:22:10.368393Z
38, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T18:29:47.288393Z
39, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T18:42:41.288393Z
40, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T19:53:37.598393Z
41, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T20:31:50.508393Z
42, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T20:57:18.718393Z
43, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T21:01:28.028393Z
44, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-03T00:00:00.008393Z, , , , , ,,2012-10-03T21:12:02.998393Z
