,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-10-04T00:00:00.000000Z, , , , , ,,2012-10-04T03:09:34.650000Z
1, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-10-04T00:00:00.000000Z, , , , , ,,2012-10-04T05:07:43.900000Z
2, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-10-04T00:00:00.000000Z, , , , , ,2012-10-04T00:13:41.725000Z,
3, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-10-04T00:00:00.000000Z, , , , , ,2012-10-04T00:14:58.000000Z,
4, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-10-04T00:00:00.000000Z, , , , , ,2012-10-04T03:16:07.900000Z,
5, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-10-04T00:00:00.000000Z, , , , , ,2012-10-04T05:07:56.825000Z,
6, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-10-04T00:00:00.000000Z, , , , , ,2012-10-04T09:59:18.175000Z,
7, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-10-04T00:00:00.000000Z, , , , , ,2012-10-04T15:54:40.825000Z,
8, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-10-04T00:00:00.000000Z, , , , , ,2012-10-04T17:02:09.125000Z,
9, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-10-04T00:00:00.000000Z, , , , , ,2012-10-04T19:57:37.850000Z,
10, , ,UW, ,JEDS,,43.75157,-124.04905,159.5, ,40.0,2012-10-04T00:00:00.000000Z, , , , , ,2012-10-04T23:45:34.850000Z,
