,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T00:06:50.040000Z
1, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T00:08:42.710000Z
2, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T00:11:09.090000Z
3, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T00:42:40.250000Z
4, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T00:54:32.170000Z
5, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T00:57:31.890000Z
6, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T00:59:02.020000Z
7, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T00:59:37.940000Z
8, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T01:33:54.370000Z
9, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T01:34:54.520000Z
10, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T04:56:33.210000Z
11, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T06:47:56.510000Z
12, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T07:19:18.660000Z
13, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T07:29:55.610000Z
14, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T08:00:46.040000Z
15, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T08:01:08.000000Z
16, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T08:30:57.020000Z
17, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T08:43:32.750000Z
18, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T09:08:49.540000Z
19, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T11:01:24.210000Z
20, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T11:08:35.930000Z
21, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T13:36:11.010000Z
22, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T15:18:48.680000Z
23, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T16:24:40.010000Z
24, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T16:32:24.530000Z
25, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T16:37:24.730000Z
26, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T17:21:42.750000Z
27, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T17:29:02.050000Z
28, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T17:32:40.680000Z
29, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T17:37:03.870000Z
30, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T17:39:29.510000Z
31, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T17:47:18.840000Z
32, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T17:48:19.010000Z
33, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T17:49:59.080000Z
34, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T17:54:21.180000Z
35, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T18:06:47.730000Z
36, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T18:14:41.600000Z
37, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T18:30:48.340000Z
38, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T18:31:56.200000Z
39, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T18:35:50.820000Z
40, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T19:08:17.210000Z
41, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T19:42:37.930000Z
42, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T20:06:12.100000Z
43, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T21:31:58.660000Z
44, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T21:34:44.890000Z
45, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T21:39:04.780000Z
46, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T22:02:45.550000Z
47, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-12T00:00:00.000000Z, , , , , ,,2012-10-12T22:58:12.910000Z
