,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T01:02:58.790000Z
1, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T01:15:48.950000Z
2, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T02:19:23.700000Z
3, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T04:37:24.730000Z
4, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T05:26:38.500000Z
5, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T05:50:31.950000Z
6, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T06:34:36.100000Z
7, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T06:56:53.330000Z
8, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T07:01:25.030000Z
9, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T07:10:58.360000Z
10, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T07:25:14.030000Z
11, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T07:25:18.390000Z
12, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T07:44:10.140000Z
13, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T07:54:56.700000Z
14, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T09:40:19.970000Z
15, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T09:49:11.630000Z
16, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T12:00:08.390000Z
17, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T13:19:41.390000Z
18, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T13:23:51.720000Z
19, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T13:48:31.440000Z
20, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T13:51:31.770000Z
21, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T14:27:29.650000Z
22, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T14:47:48.960000Z
23, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T16:24:20.590000Z
24, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T16:24:26.010000Z
25, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T17:32:29.080000Z
26, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T17:43:59.060000Z
27, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T18:05:10.460000Z
28, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T18:06:06.230000Z
29, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T18:59:42.670000Z
30, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T19:12:29.750000Z
31, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T19:16:44.170000Z
32, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T22:36:28.700000Z
33, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T22:43:24.500000Z
34, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,,2012-10-25T22:59:59.570000Z
35, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T01:03:08.260000Z,
36, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T01:59:27.920000Z,
37, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T02:19:23.720000Z,
38, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T02:19:33.060000Z,
39, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T03:58:11.520000Z,
40, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T04:37:24.820000Z,
41, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T04:47:26.440000Z,
42, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T04:57:31.400000Z,
43, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T05:50:36.040000Z,
44, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T06:23:12.800000Z,
45, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T06:36:18.050000Z,
46, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T07:01:29.140000Z,
47, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T07:03:49.460000Z,
48, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T07:18:33.190000Z,
49, , ,NC, ,KMR,,40.202175,-123.708633,915.0, ,100.0,2012-10-25T00:00:00.000000Z, , , , , ,2012-10-25T07:23:42.210000Z,
