,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,,2012-10-04T00:51:31.150000Z
1, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,,2012-10-04T01:21:11.100000Z
2, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,,2012-10-04T01:37:06.490000Z
3, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,,2012-10-04T01:53:37.770000Z
4, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,,2012-10-04T03:42:18.570000Z
5, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,,2012-10-04T06:12:27.240000Z
6, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,,2012-10-04T10:44:22.840000Z
7, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,,2012-10-04T13:20:55.660000Z
8, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,,2012-10-04T14:10:26.340000Z
9, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,,2012-10-04T14:32:49.030000Z
10, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,,2012-10-04T14:52:53.090000Z
11, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,,2012-10-04T15:49:18.730000Z
12, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,,2012-10-04T16:32:23.390000Z
13, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,,2012-10-04T16:51:54.070000Z
14, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,,2012-10-04T17:38:29.010000Z
15, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,,2012-10-04T20:01:37.410000Z
16, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,,2012-10-04T20:19:56.460000Z
17, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,2012-10-04T03:42:24.960000Z,
18, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,2012-10-04T14:15:13.770000Z,
19, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,2012-10-04T15:50:35.890000Z,
20, , ,NC, ,KRP,,41.157516,-124.023453,811.0, ,100.0,2012-10-04T00:00:00.000000Z, , , , , ,2012-10-04T16:23:51.550000Z,
