,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T01:24:45.425000Z
1, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T02:03:12.100000Z
2, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T02:07:39.375000Z
3, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T02:24:29.850000Z
4, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T03:01:38.250000Z
5, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T03:26:10.675000Z
6, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T04:26:09.200000Z
7, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T06:03:27.650000Z
8, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T06:08:38.325000Z
9, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T06:09:41.875000Z
10, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T07:04:11.325000Z
11, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T07:22:27.050000Z
12, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T07:33:10.450000Z
13, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T07:36:28.025000Z
14, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T07:39:47.275000Z
15, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T07:44:53.050000Z
16, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T07:49:50.225000Z
17, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T09:22:26.425000Z
18, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T09:53:23.425000Z
19, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T12:28:07.225000Z
20, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T12:48:43.100000Z
21, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T13:27:24.225000Z
22, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T14:21:45.425000Z
23, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,2012-10-14T01:25:32.850000Z,
24, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,2012-10-14T01:55:22.075000Z,
25, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,2012-10-14T02:07:43.275000Z,
26, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,2012-10-14T02:12:57.450000Z,
27, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,2012-10-14T02:44:39.250000Z,
28, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,2012-10-14T03:15:08.075000Z,
29, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,2012-10-14T04:26:28.150000Z,
30, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,2012-10-14T07:48:08.800000Z,
31, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,2012-10-14T09:53:42.125000Z,
32, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,2012-10-14T10:06:37.250000Z,
33, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,2012-10-14T11:10:04.550000Z,
34, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,2012-10-14T11:38:29.675000Z,
35, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,2012-10-14T12:28:31.600000Z,
36, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,2012-10-14T13:00:13.400000Z,
37, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,2012-10-14T13:07:40.475000Z,
38, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,2012-10-14T16:55:41.075000Z,
39, , ,UW, ,LEBA,,46.545898,-123.563202,78.6, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,2012-10-14T20:53:22.775000Z,
