,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T00:37:58.215000Z
1, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T00:50:40.865000Z
2, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T00:59:05.465000Z
3, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T02:33:30.465000Z
4, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T03:12:28.840000Z
5, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T03:17:50.765000Z
6, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T03:57:02.415000Z
7, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T04:40:44.165000Z
8, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T06:24:51.440000Z
9, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T07:22:49.965000Z
10, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T07:26:46.065000Z
11, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T08:41:04.390000Z
12, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T08:49:51.365000Z
13, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T09:17:16.765000Z
14, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T11:13:00.015000Z
15, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T11:53:46.640000Z
16, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T12:09:43.365000Z
17, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T15:28:29.365000Z
18, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T16:21:18.940000Z
19, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T18:59:01.515000Z
20, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T19:08:31.640000Z
21, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T19:23:11.115000Z
22, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T20:00:18.265000Z
23, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,,2012-10-22T22:54:12.390000Z
24, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,2012-10-22T00:59:25.090000Z,
25, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,2012-10-22T06:17:58.740000Z,
26, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,2012-10-22T07:04:38.440000Z,
27, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,2012-10-22T09:26:20.265000Z,
28, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,2012-10-22T09:55:51.740000Z,
29, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,2012-10-22T11:13:07.890000Z,
30, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,2012-10-22T11:21:35.815000Z,
31, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,2012-10-22T13:56:03.090000Z,
32, , ,UW, ,LRIV,,48.0575,-123.504,293.8, ,40.0,2012-10-22T00:00:00.015000Z, , , , , ,2012-10-22T19:08:40.215000Z,
