,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T00:54:56.125000Z
1, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T01:09:38.825000Z
2, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T02:46:58.975000Z
3, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T04:26:05.900000Z
4, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T05:47:51.625000Z
5, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T06:00:06.100000Z
6, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T06:26:39.225000Z
7, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T06:30:48.875000Z
8, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T06:57:55.800000Z
9, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T07:05:23.925000Z
10, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T07:09:22.900000Z
11, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T07:14:23.175000Z
12, , ,CN, ,LZB,,48.6122,-123.824,794.0, ,40.0,2012-10-14T00:00:00.000000Z, , , , , ,,2012-10-14T07:25:55.425000Z
