,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:01:33.834500Z
1, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:04:13.802500Z
2, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:07:56.418500Z
3, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:08:38.266500Z
4, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:15:19.210500Z
5, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:15:24.442500Z
6, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:16:42.578500Z
7, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:20:18.050500Z
8, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:21:15.138500Z
9, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:24:03.338500Z
10, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:24:54.090500Z
11, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:26:18.514500Z
12, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:29:25.770500Z
13, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:29:44.490500Z
14, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:30:18.394500Z
15, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:33:43.890500Z
16, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:33:55.106500Z
17, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:36:50.370500Z
18, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:38:30.882500Z
19, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:38:59.202500Z
20, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:41:14.370500Z
21, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:41:16.626500Z
22, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:45:58.578500Z
23, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:49:06.378500Z
24, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:52:32.986500Z
25, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:55:29.050500Z
26, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:55:48.394500Z
27, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:57:18.386500Z
28, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T00:58:54.290500Z
29, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T01:00:32.042500Z
30, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T01:01:43.834500Z
31, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T01:03:09.818500Z
32, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T01:09:50.154500Z
33, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T01:22:12.410500Z
34, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T01:23:27.690500Z
35, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T01:23:51.242500Z
36, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T01:24:32.234500Z
37, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T01:25:45.754500Z
38, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T01:26:40.666500Z
39, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T01:31:28.242500Z
40, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T01:36:06.562500Z
41, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T01:39:40.602500Z
42, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T01:43:12.130500Z
43, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T01:50:10.122500Z
44, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T01:51:02.442500Z
45, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T02:05:00.850500Z
46, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T02:05:34.634500Z
47, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T02:07:06.570500Z
48, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T02:08:13.458500Z
49, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T02:08:23.370500Z
50, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T02:09:54.858500Z
51, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-28T00:00:00.002500Z, , , , , ,,2012-10-28T02:10:45.098500Z
