,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-10-05T00:00:00.000000Z, , , , , ,,2012-10-05T03:28:06.090000Z
1, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-10-05T00:00:00.000000Z, , , , , ,,2012-10-05T04:21:32.630000Z
2, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-10-05T00:00:00.000000Z, , , , , ,,2012-10-05T04:26:16.850000Z
3, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-10-05T00:00:00.000000Z, , , , , ,,2012-10-05T05:29:52.750000Z
4, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-10-05T00:00:00.000000Z, , , , , ,,2012-10-05T07:55:03.290000Z
5, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-10-05T00:00:00.000000Z, , , , , ,,2012-10-05T08:50:45.950000Z
6, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-10-05T00:00:00.000000Z, , , , , ,,2012-10-05T08:57:52.590000Z
7, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-10-05T00:00:00.000000Z, , , , , ,,2012-10-05T09:11:18.890000Z
8, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-10-05T00:00:00.000000Z, , , , , ,,2012-10-05T09:13:50.990000Z
9, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-10-05T00:00:00.000000Z, , , , , ,,2012-10-05T09:39:44.730000Z
10, , ,CN, ,MGB,,48.9999,-124.697,1310.0, ,100.0,2012-10-05T00:00:00.000000Z, , , , , ,,2012-10-05T09:47:31.450000Z
