,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NV, ,NCBC,,48.4275,-126.1752,-398.0, ,100.0,2012-10-11T00:00:00.000000Z, , , , , ,,2012-10-11T00:03:02.700000Z
1, , ,NV, ,NCBC,,48.4275,-126.1752,-398.0, ,100.0,2012-10-11T00:00:00.000000Z, , , , , ,,2012-10-11T00:15:24.940000Z
2, , ,NV, ,NCBC,,48.4275,-126.1752,-398.0, ,100.0,2012-10-11T00:00:00.000000Z, , , , , ,,2012-10-11T00:16:00.410000Z
3, , ,NV, ,NCBC,,48.4275,-126.1752,-398.0, ,100.0,2012-10-11T00:00:00.000000Z, , , , , ,,2012-10-11T01:04:35.770000Z
4, , ,NV, ,NCBC,,48.4275,-126.1752,-398.0, ,100.0,2012-10-11T00:00:00.000000Z, , , , , ,,2012-10-11T01:06:21.660000Z
5, , ,NV, ,NCBC,,48.4275,-126.1752,-398.0, ,100.0,2012-10-11T00:00:00.000000Z, , , , , ,,2012-10-11T01:14:20.500000Z
6, , ,NV, ,NCBC,,48.4275,-126.1752,-398.0, ,100.0,2012-10-11T00:00:00.000000Z, , , , , ,,2012-10-11T01:21:47.790000Z
7, , ,NV, ,NCBC,,48.4275,-126.1752,-398.0, ,100.0,2012-10-11T00:00:00.000000Z, , , , , ,,2012-10-11T01:40:35.490000Z
8, , ,NV, ,NCBC,,48.4275,-126.1752,-398.0, ,100.0,2012-10-11T00:00:00.000000Z, , , , , ,,2012-10-11T01:41:30.580000Z
9, , ,NV, ,NCBC,,48.4275,-126.1752,-398.0, ,100.0,2012-10-11T00:00:00.000000Z, , , , , ,,2012-10-11T02:04:58.020000Z
10, , ,NV, ,NCBC,,48.4275,-126.1752,-398.0, ,100.0,2012-10-11T00:00:00.000000Z, , , , , ,,2012-10-11T02:44:38.700000Z
11, , ,NV, ,NCBC,,48.4275,-126.1752,-398.0, ,100.0,2012-10-11T00:00:00.000000Z, , , , , ,,2012-10-11T02:53:41.840000Z
12, , ,NV, ,NCBC,,48.4275,-126.1752,-398.0, ,100.0,2012-10-11T00:00:00.000000Z, , , , , ,,2012-10-11T02:55:13.880000Z
