,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T02:17:54.025000Z
1, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T03:05:43.375000Z
2, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T03:41:45.450000Z
3, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T04:12:55.625000Z
4, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T05:11:47.000000Z
5, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T05:37:58.675000Z
6, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T06:00:10.500000Z
7, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T06:44:26.375000Z
8, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T09:00:20.475000Z
9, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T11:49:59.450000Z
10, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T12:32:54.200000Z
11, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T12:58:39.425000Z
12, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T16:32:18.775000Z
13, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T16:50:04.200000Z
14, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T17:49:58.200000Z
15, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T18:18:31.900000Z
16, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T19:13:15.750000Z
17, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T19:22:35.900000Z
18, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T20:57:22.725000Z
19, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T21:06:04.625000Z
20, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,,2012-10-18T22:20:23.225000Z
21, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,2012-10-18T00:13:10.475000Z,
22, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,2012-10-18T01:05:22.650000Z,
23, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,2012-10-18T02:30:29.625000Z,
24, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,2012-10-18T05:11:57.650000Z,
25, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,2012-10-18T06:22:37.675000Z,
26, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,2012-10-18T06:54:50.675000Z,
27, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,2012-10-18T11:45:39.800000Z,
28, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,2012-10-18T12:58:43.875000Z,
29, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,2012-10-18T15:54:23.525000Z,
30, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,2012-10-18T18:18:45.400000Z,
31, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,2012-10-18T21:06:20.775000Z,
32, , ,CN, ,NLLB,,49.2271,-123.9882,199.0, ,40.0,2012-10-18T00:00:00.000000Z, , , , , ,2012-10-18T23:23:26.325000Z,
