,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-10-01T00:00:00.006000Z, , , , , ,,2012-10-01T00:22:39.946000Z
1, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-10-01T00:00:00.006000Z, , , , , ,,2012-10-01T00:24:37.486000Z
2, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-10-01T00:00:00.006000Z, , , , , ,,2012-10-01T00:33:08.046000Z
3, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-10-01T00:00:00.006000Z, , , , , ,,2012-10-01T01:23:16.246000Z
4, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-10-01T00:00:00.006000Z, , , , , ,,2012-10-01T02:04:25.666000Z
5, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-10-01T00:00:00.006000Z, , , , , ,,2012-10-01T02:11:47.546000Z
6, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-10-01T00:00:00.006000Z, , , , , ,,2012-10-01T02:28:58.706000Z
7, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-10-01T00:00:00.006000Z, , , , , ,,2012-10-01T02:46:13.906000Z
8, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-10-01T00:00:00.006000Z, , , , , ,,2012-10-01T02:46:17.786000Z
9, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-10-01T00:00:00.006000Z, , , , , ,,2012-10-01T03:00:17.886000Z
10, , ,UW, ,OFR,,47.933128,-124.396042,152.0, ,50.0,2012-10-01T00:00:00.006000Z, , , , , ,,2012-10-01T03:03:41.566000Z
