,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T00:57:36.800000Z
1, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T10:29:22.350000Z
2, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T16:09:27.825000Z
3, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T19:03:34.825000Z
4, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-26T00:00:00.000000Z, , , , , ,2012-10-26T01:16:13.000000Z,
5, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-26T00:00:00.000000Z, , , , , ,2012-10-26T03:20:17.775000Z,
6, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-26T00:00:00.000000Z, , , , , ,2012-10-26T10:14:32.775000Z,
7, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-26T00:00:00.000000Z, , , , , ,2012-10-26T16:09:32.775000Z,
8, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-26T00:00:00.000000Z, , , , , ,2012-10-26T19:03:48.275000Z,
9, , ,CN, ,OZB,,48.9612,-125.4978,626.0, ,40.0,2012-10-26T00:00:00.000000Z, , , , , ,2012-10-26T22:53:33.200000Z,
