,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-10-01T00:00:00.000000Z, , , , , ,,2012-10-01T00:18:31.875000Z
1, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-10-01T00:00:00.000000Z, , , , , ,,2012-10-01T00:30:46.275000Z
2, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-10-01T00:00:00.000000Z, , , , , ,,2012-10-01T00:31:59.250000Z
3, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-10-01T00:00:00.000000Z, , , , , ,,2012-10-01T00:35:20.200000Z
4, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-10-01T00:00:00.000000Z, , , , , ,,2012-10-01T01:43:26.250000Z
5, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-10-01T00:00:00.000000Z, , , , , ,,2012-10-01T01:53:41.650000Z
6, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-10-01T00:00:00.000000Z, , , , , ,,2012-10-01T02:08:26.900000Z
7, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-10-01T00:00:00.000000Z, , , , , ,,2012-10-01T03:07:20.225000Z
8, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-10-01T00:00:00.000000Z, , , , , ,,2012-10-01T03:30:47.925000Z
9, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-10-01T00:00:00.000000Z, , , , , ,,2012-10-01T04:08:17.900000Z
10, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-10-01T00:00:00.000000Z, , , , , ,,2012-10-01T04:16:54.000000Z
11, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-10-01T00:00:00.000000Z, , , , , ,,2012-10-01T05:57:22.625000Z
12, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-10-01T00:00:00.000000Z, , , , , ,,2012-10-01T06:10:53.975000Z
13, , ,CN, ,PGC,,48.6498,-123.4521,12.0, ,40.0,2012-10-01T00:00:00.000000Z, , , , , ,,2012-10-01T06:27:11.850000Z
