,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T09:04:20.825000Z
1, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T11:15:28.350000Z
2, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T11:24:50.025000Z
3, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T13:13:37.825000Z
4, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T16:55:04.025000Z
5, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T17:44:05.250000Z
6, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T18:56:50.950000Z
7, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T19:45:23.425000Z
8, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T19:46:29.675000Z
9, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T19:50:41.975000Z
10, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T22:13:02.250000Z
11, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T22:42:03.300000Z
12, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T22:51:56.225000Z
13, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T23:56:58.200000Z
14, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T06:21:14.600000Z,
15, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T06:38:38.325000Z,
16, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T09:04:20.900000Z,
17, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T09:33:24.250000Z,
18, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T10:14:13.375000Z,
19, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T10:19:34.900000Z,
20, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T10:23:50.475000Z,
21, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T10:47:37.325000Z,
22, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T15:57:35.875000Z,
23, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T16:55:09.950000Z,
24, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T18:57:10.900000Z,
25, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T19:46:29.900000Z,
26, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T19:51:02.000000Z,
27, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T22:52:02.575000Z,
28, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T23:00:14.000000Z,
29, , ,CN, ,SHB,,49.5985,-123.8771,1129.0, ,40.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T23:57:14.700000Z,
