,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,,2012-10-06T01:15:20.560000Z
1, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,,2012-10-06T03:26:17.050000Z
2, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,,2012-10-06T04:40:59.530000Z
3, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,,2012-10-06T05:20:02.120000Z
4, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,,2012-10-06T05:29:48.370000Z
5, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,,2012-10-06T09:49:40.110000Z
6, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,,2012-10-06T15:19:52.410000Z
7, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,,2012-10-06T15:58:01.790000Z
8, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,,2012-10-06T15:59:49.210000Z
9, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,,2012-10-06T17:27:41.150000Z
10, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,,2012-10-06T17:38:47.290000Z
11, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,,2012-10-06T17:45:24.780000Z
12, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,,2012-10-06T17:57:51.820000Z
13, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,,2012-10-06T20:05:27.520000Z
14, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,2012-10-06T09:49:42.480000Z,
15, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,2012-10-06T15:04:56.390000Z,
16, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,2012-10-06T15:50:32.920000Z,
17, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,2012-10-06T17:01:59.090000Z,
18, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,2012-10-06T17:07:30.800000Z,
19, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,2012-10-06T17:11:40.050000Z,
20, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,2012-10-06T17:30:19.190000Z,
21, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,2012-10-06T17:54:30.730000Z,
22, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,2012-10-06T18:18:44.070000Z,
23, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,2012-10-06T20:05:35.740000Z,
24, , ,CN, ,SNB,,48.7751,-123.1723,402.0, ,100.0,2012-10-06T00:00:00.000000Z, , , , , ,2012-10-06T23:25:37.140000Z,
