,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T00:10:56.986000Z
1, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T00:32:58.106000Z
2, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T00:59:06.626000Z
3, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T02:10:45.086000Z
4, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T02:36:57.926000Z
5, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T02:45:32.606000Z
6, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T04:34:11.026000Z
7, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T04:45:25.146000Z
8, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T05:08:28.406000Z
9, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T05:23:19.806000Z
10, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T06:04:21.426000Z
11, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T07:00:39.006000Z
12, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T07:02:15.866000Z
13, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T07:18:39.746000Z
14, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T07:31:26.426000Z
15, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T07:47:36.606000Z
16, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T08:00:15.826000Z
17, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T08:19:03.266000Z
18, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T08:34:42.246000Z
19, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T09:01:10.006000Z
20, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T09:42:35.146000Z
21, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T10:06:39.946000Z
22, , ,UW, ,TAKO,,43.74313,-124.08337,12.0, ,50.0,2012-10-08T00:00:00.006000Z, , , , , ,,2012-10-08T10:21:37.766000Z
