,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T02:27:32.210000Z
1, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T13:53:12.170000Z
2, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T18:56:32.600000Z
3, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T19:50:23.320000Z
4, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T21:24:14.860000Z
5, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-10-23T00:00:00.000000Z, , , , , ,,2012-10-23T23:56:54.800000Z
6, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T09:00:07.530000Z,
7, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T16:32:46.300000Z,
8, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T17:03:21.600000Z,
9, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T17:16:32.990000Z,
10, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T18:56:38.800000Z,
11, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T19:50:29.490000Z,
12, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T20:38:59.900000Z,
13, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T20:39:41.920000Z,
14, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T23:56:54.820000Z,
15, , ,CN, ,VGZ,,48.4131,-123.3251,67.0, ,100.0,2012-10-23T00:00:00.000000Z, , , , , ,2012-10-23T23:57:08.330000Z,
