,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T00:04:19.880000Z
1, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T00:11:20.270000Z
2, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T00:53:09.740000Z
3, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T02:01:51.390000Z
4, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T04:04:21.840000Z
5, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T14:03:28.500000Z
6, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T15:22:23.160000Z
7, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T15:42:29.690000Z
8, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T18:44:56.990000Z
9, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T22:54:27.050000Z
10, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T23:46:11.210000Z
11, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T23:46:18.710000Z
12, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T02:06:17.300000Z,
13, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T04:04:48.000000Z,
14, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T04:45:55.520000Z,
15, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T16:57:02.260000Z,
16, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T18:51:46.230000Z,
17, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T22:16:18.680000Z,
18, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T22:35:09.750000Z,
19, , ,CN, ,YOUB,,48.901,-124.2618,771.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T23:46:18.810000Z,
