,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-07T00:00:00.001700Z, , , , , ,,2012-10-07T00:01:43.529700Z
1, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-07T00:00:00.001700Z, , , , , ,,2012-10-07T00:04:39.617700Z
2, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-07T00:00:00.001700Z, , , , , ,,2012-10-07T00:19:48.905700Z
3, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-07T00:00:00.001700Z, , , , , ,,2012-10-07T00:22:30.345700Z
4, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-07T00:00:00.001700Z, , , , , ,,2012-10-07T00:26:40.969700Z
5, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-07T00:00:00.001700Z, , , , , ,,2012-10-07T00:29:30.033700Z
6, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-07T00:00:00.001700Z, , , , , ,,2012-10-07T00:33:14.729700Z
7, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-07T00:00:00.001700Z, , , , , ,,2012-10-07T00:42:26.657700Z
8, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-07T00:00:00.001700Z, , , , , ,,2012-10-07T00:44:12.009700Z
9, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-07T00:00:00.001700Z, , , , , ,,2012-10-07T00:49:03.009700Z
10, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-07T00:00:00.001700Z, , , , , ,,2012-10-07T00:54:37.161700Z
