,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T00:22:53.941100Z
1, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T00:25:16.961100Z
2, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T00:28:22.201100Z
3, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T00:49:17.521100Z
4, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T02:57:26.261100Z
5, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T02:58:53.021100Z
6, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T03:06:01.141100Z
7, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T05:37:47.541100Z
8, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T06:54:30.021100Z
9, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T08:00:53.261100Z
10, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T08:06:47.601100Z
11, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T08:21:20.141100Z
12, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T08:25:24.921100Z
13, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T08:30:58.501100Z
14, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T08:49:28.121100Z
15, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T08:52:29.141100Z
16, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T09:03:07.881100Z
17, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T09:13:14.521100Z
18, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T09:17:13.641100Z
19, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T12:12:18.081100Z
20, , ,7D, ,G19B,,41.3074,-125.773598,-3071.0, ,50.0,2012-10-06T00:00:00.001100Z, , , , , ,,2012-10-06T12:12:36.141100Z
