,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T00:55:23.275000Z
1, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T01:15:50.825000Z
2, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T01:24:14.625000Z
3, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T02:05:12.625000Z
4, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T02:54:00.100000Z
5, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T03:10:18.600000Z
6, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T03:43:39.475000Z
7, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T04:06:14.475000Z
8, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T04:38:31.650000Z
9, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T05:15:29.425000Z
10, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T07:46:14.500000Z
11, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T09:44:49.575000Z
12, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T09:51:42.400000Z
13, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T11:09:41.200000Z
14, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T12:24:10.050000Z
15, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T12:26:34.125000Z
16, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T12:28:54.100000Z
17, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T13:14:40.200000Z
18, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T13:50:38.300000Z
19, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T14:36:12.600000Z
20, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T14:54:09.825000Z
21, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T16:53:48.400000Z
22, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T18:41:06.050000Z
23, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T18:42:58.400000Z
24, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T18:43:59.000000Z
25, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T19:52:57.500000Z
26, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T22:07:09.875000Z
27, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T22:10:47.075000Z
28, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,,2012-10-14T22:48:34.750000Z
29, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T00:00:36.275000Z,
30, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T00:55:23.275000Z,
31, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T01:24:38.950000Z,
32, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T02:05:17.975000Z,
33, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T03:17:11.525000Z,
34, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T04:13:43.825000Z,
35, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T04:24:07.600000Z,
36, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T05:45:53.025000Z,
37, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T05:52:32.625000Z,
38, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T07:46:48.125000Z,
39, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T08:13:13.425000Z,
40, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T08:46:52.450000Z,
41, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T08:59:17.050000Z,
42, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T13:27:13.675000Z,
43, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T13:37:43.600000Z,
44, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T14:00:47.450000Z,
45, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T14:04:01.750000Z,
46, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T14:19:03.850000Z,
47, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T14:54:09.775000Z,
48, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T15:13:11.050000Z,
49, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T16:54:19.650000Z,
50, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-14T00:00:00.025000Z, , , , , ,2012-10-14T18:44:00.300000Z,
