,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T00:09:53.417400Z
1, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T00:12:01.737400Z
2, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T00:13:34.065400Z
3, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T00:15:48.969400Z
4, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T00:20:44.201400Z
5, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T00:21:48.121400Z
6, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T00:23:14.953400Z
7, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T00:30:27.313400Z
8, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T00:30:32.009400Z
9, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T00:30:52.057400Z
10, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T00:35:25.145400Z
11, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T00:44:56.689400Z
12, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T01:15:42.345400Z
13, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T01:24:49.553400Z
14, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T01:36:59.937400Z
15, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T01:38:33.809400Z
16, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T01:56:32.465400Z
17, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T02:03:32.817400Z
18, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T02:22:41.817400Z
19, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T02:27:37.449400Z
20, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T02:30:10.537400Z
21, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T02:31:34.529400Z
22, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T02:37:41.545400Z
23, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T02:38:23.073400Z
24, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T02:39:39.713400Z
25, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T02:42:35.057400Z
26, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T02:50:35.977400Z
27, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T02:56:15.449400Z
28, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T03:00:17.633400Z
29, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T03:05:16.769400Z
30, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T03:08:37.177400Z
31, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T03:09:21.009400Z
32, , ,7D, ,J33B,,45.106602,-124.570602,-350.0, ,125.0,2012-10-09T00:00:00.001400Z, , , , , ,,2012-10-09T03:17:07.001400Z
