,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,,2012-10-25T00:14:53.890000Z
1, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,,2012-10-25T04:08:46.065000Z
2, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,,2012-10-25T04:13:32.490000Z
3, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,,2012-10-25T04:34:41.765000Z
4, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,,2012-10-25T04:44:10.765000Z
5, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,,2012-10-25T04:49:06.415000Z
6, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,,2012-10-25T04:50:50.390000Z
7, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,,2012-10-25T05:37:41.090000Z
8, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,,2012-10-25T09:11:41.690000Z
9, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,,2012-10-25T16:05:04.815000Z
10, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,,2012-10-25T17:16:27.390000Z
11, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,,2012-10-25T17:50:22.040000Z
12, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,,2012-10-25T18:31:39.540000Z
13, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,,2012-10-25T19:19:03.115000Z
14, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,,2012-10-25T20:11:17.640000Z
15, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,,2012-10-25T20:27:22.315000Z
16, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,,2012-10-25T20:33:54.865000Z
17, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,,2012-10-25T21:24:45.165000Z
18, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,,2012-10-25T23:58:13.640000Z
19, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,2012-10-25T06:37:08.440000Z,
20, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,2012-10-25T15:28:40.615000Z,
21, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,2012-10-25T17:29:55.415000Z,
22, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,2012-10-25T18:00:10.315000Z,
23, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,2012-10-25T18:02:13.440000Z,
24, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,2012-10-25T18:27:36.615000Z,
25, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,2012-10-25T19:26:33.990000Z,
26, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,2012-10-25T20:38:02.590000Z,
27, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,2012-10-25T21:24:50.815000Z,
28, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-25T00:00:00.015000Z, , , , , ,2012-10-25T21:59:50.540000Z,
