,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T00:02:43.724600Z
1, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T00:13:14.796600Z
2, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T00:14:58.636600Z
3, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T00:16:44.532600Z
4, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T00:21:59.940600Z
5, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T00:30:31.428600Z
6, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T00:41:24.844600Z
7, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T00:45:03.828600Z
8, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T00:47:52.292600Z
9, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T00:54:45.540600Z
10, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T00:57:02.580600Z
11, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T01:15:10.420600Z
12, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T01:18:42.796600Z
13, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T01:26:41.292600Z
14, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T01:33:44.140600Z
15, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T01:44:21.476600Z
16, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T01:49:30.708600Z
17, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T01:58:45.580600Z
18, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T02:02:17.676600Z
19, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T02:06:53.476600Z
20, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T02:07:22.260600Z
21, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T02:09:08.612600Z
22, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T02:14:46.180600Z
23, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T02:23:27.468600Z
24, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T02:27:13.556600Z
25, , ,7D, ,FS16B,,40.538101,-124.739502,-1073.0, ,125.0,2012-10-01T00:00:00.004600Z, , , , , ,,2012-10-01T02:32:59.436600Z
