,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T00:17:57.779766Z
1, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T01:43:10.964078Z
2, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T02:17:50.100205Z
3, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T02:59:37.508358Z
4, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T03:11:59.980403Z
5, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T03:13:57.012410Z
6, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T03:15:44.316417Z
7, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T03:16:37.452420Z
8, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T03:38:19.668500Z
9, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T03:42:00.164513Z
10, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T04:11:24.012621Z
11, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T04:20:17.788653Z
12, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T04:59:28.276797Z
13, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T05:01:43.940805Z
14, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T05:13:07.492847Z
15, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T05:18:49.532868Z
16, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T05:20:31.564874Z
17, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T05:52:08.756990Z
18, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T06:08:51.589051Z
19, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T06:57:14.125228Z
20, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T07:24:13.485327Z
21, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T07:33:53.525362Z
22, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T07:34:32.141365Z
23, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-10T00:00:00.003700Z, , , , , ,,2012-10-10T07:39:48.277384Z
