,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,,2012-10-27T00:14:54.975000Z
1, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,,2012-10-27T01:40:57.050000Z
2, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,,2012-10-27T02:27:15.600000Z
3, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,,2012-10-27T02:59:09.900000Z
4, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,,2012-10-27T04:23:30.450000Z
5, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,,2012-10-27T04:49:08.725000Z
6, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,,2012-10-27T05:13:41.850000Z
7, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,,2012-10-27T05:19:40.100000Z
8, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,,2012-10-27T05:51:43.625000Z
9, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,,2012-10-27T08:27:34.525000Z
10, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,,2012-10-27T09:27:31.650000Z
11, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,,2012-10-27T10:30:44.100000Z
12, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,,2012-10-27T14:23:32.775000Z
13, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,,2012-10-27T14:47:38.325000Z
14, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,,2012-10-27T20:22:51.675000Z
15, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,,2012-10-27T21:32:00.500000Z
16, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,,2012-10-27T22:17:34.150000Z
17, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,2012-10-27T01:06:58.925000Z,
18, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,2012-10-27T01:40:09.475000Z,
19, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,2012-10-27T06:09:33.225000Z,
20, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,2012-10-27T11:18:38.250000Z,
21, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,2012-10-27T11:20:13.175000Z,
22, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,2012-10-27T13:18:01.700000Z,
23, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,2012-10-27T14:34:16.025000Z,
24, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,2012-10-27T18:23:58.250000Z,
25, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,2012-10-27T20:12:41.375000Z,
26, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,2012-10-27T20:45:40.125000Z,
27, , ,TA, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-27T00:00:00.000000Z, , , , , ,2012-10-27T23:50:33.550000Z,
