,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T00:01:06.726700Z
1, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T00:05:08.758700Z
2, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T00:06:22.358700Z
3, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T00:11:08.358700Z
4, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T00:11:32.854700Z
5, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T00:14:33.366700Z
6, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T00:15:56.710700Z
7, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T00:17:34.678700Z
8, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T00:24:37.510700Z
9, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T00:37:07.030700Z
10, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T00:39:14.742700Z
11, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T00:39:50.174700Z
12, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T00:49:41.542700Z
13, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T00:56:35.918700Z
14, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T00:56:56.126700Z
15, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:00:44.454700Z
16, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:04:11.166700Z
17, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:04:40.822700Z
18, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:06:47.246700Z
19, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:08:17.070700Z
20, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:10:44.558700Z
21, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:14:00.678700Z
22, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:17:50.942700Z
23, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:18:38.734700Z
24, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:19:08.582700Z
25, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:20:35.062700Z
26, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:22:04.486700Z
27, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:23:38.806700Z
28, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:26:21.022700Z
29, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:26:33.862700Z
30, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:27:46.694700Z
31, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:30:42.774700Z
32, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:32:06.046700Z
33, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:32:43.542700Z
34, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:44:52.038700Z
35, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:49:02.406700Z
36, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:50:31.182700Z
37, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T01:52:32.406700Z
38, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T02:02:16.974700Z
39, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T02:02:36.326700Z
40, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T02:03:00.182700Z
41, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T02:03:51.774700Z
42, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T02:06:07.478700Z
43, , ,7D, ,J25B,,44.471298,-124.621696,-147.0, ,125.0,2012-10-08T00:00:00.006700Z, , , , , ,,2012-10-08T02:07:01.606700Z
