,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-18T00:00:00.008393Z, , , , , ,,2012-10-18T00:11:44.468393Z
1, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-18T00:00:00.008393Z, , , , , ,,2012-10-18T00:13:23.978393Z
2, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-18T00:00:00.008393Z, , , , , ,,2012-10-18T00:23:44.418393Z
3, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-18T00:00:00.008393Z, , , , , ,,2012-10-18T00:59:21.288393Z
4, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-18T00:00:00.008393Z, , , , , ,,2012-10-18T01:03:38.048393Z
5, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-18T00:00:00.008393Z, , , , , ,,2012-10-18T01:09:38.678393Z
6, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-18T00:00:00.008393Z, , , , , ,,2012-10-18T01:29:59.528393Z
7, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-18T00:00:00.008393Z, , , , , ,,2012-10-18T01:32:38.288393Z
8, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-18T00:00:00.008393Z, , , , , ,,2012-10-18T01:41:51.458393Z
9, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-18T00:00:00.008393Z, , , , , ,,2012-10-18T02:47:17.488393Z
10, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-18T00:00:00.008393Z, , , , , ,,2012-10-18T03:02:25.158393Z
11, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-18T00:00:00.008393Z, , , , , ,,2012-10-18T03:27:51.948393Z
12, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-18T00:00:00.008393Z, , , , , ,,2012-10-18T04:16:46.218393Z
13, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-18T00:00:00.008393Z, , , , , ,,2012-10-18T04:28:06.588393Z
14, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-18T00:00:00.008393Z, , , , , ,,2012-10-18T05:39:22.378393Z
15, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-18T00:00:00.008393Z, , , , , ,,2012-10-18T06:01:18.888393Z
16, , ,BK, ,JCC,00,40.817451,-124.029549,27.2, ,100.0,2012-10-18T00:00:00.008393Z, , , , , ,,2012-10-18T06:45:52.908393Z
