,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T00:02:36.900600Z
1, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T00:12:18.116600Z
2, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T00:15:19.116600Z
3, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T00:28:06.132600Z
4, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T00:34:10.036600Z
5, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T00:35:55.148600Z
6, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T00:39:04.668600Z
7, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T00:40:41.740600Z
8, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T00:41:25.292600Z
9, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T00:42:23.060600Z
10, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T00:43:16.580600Z
11, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T00:43:46.612600Z
12, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T00:45:08.708600Z
13, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T00:53:11.796600Z
14, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T00:53:30.060600Z
15, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T00:56:18.204600Z
16, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T00:56:35.292600Z
17, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T00:58:52.724600Z
18, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T01:08:32.820600Z
19, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T01:09:14.820600Z
20, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T01:12:36.516600Z
21, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T01:17:31.156600Z
22, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T01:18:01.420600Z
23, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T01:18:33.940600Z
24, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T01:20:08.300600Z
25, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T01:21:32.308600Z
26, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T01:22:37.516600Z
27, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T01:32:42.084600Z
28, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T01:33:36.724600Z
29, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T01:38:36.716600Z
30, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T01:39:27.948600Z
31, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T01:40:31.788600Z
32, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T01:55:06.772600Z
33, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T02:00:28.004600Z
34, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T02:02:47.700600Z
35, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T02:07:19.460600Z
36, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T02:08:37.004600Z
37, , ,7D, ,M09B,,44.249699,-125.058899,-914.0, ,125.0,2012-10-10T00:00:00.004600Z, , , , , ,,2012-10-10T02:09:29.156600Z
