,Unnamed: 0,idx,time,x,y,z,picks,latitude,longitude,depth,event_idx,pick_idx,residual,station,phase,time_pick,datetime
0,0,0,2012-10-01 04:32:57.526930+00:00,-95.15337384718543,-109.3588944270905,38.671875,9,40.7598054874146,-125.87686637236229,38.671875,0,191641,0.6914656162261963,FS20B,S,1349066001.879701,2012-10-01 04:32:57.526930+00:00
93,93,9,2012-10-01 23:30:57.302812+00:00,-4.086341208161337,-124.60216626696123,36.328125,16,40.628029748523325,-124.79829824996072,36.328125,9,437,0.0417239665985107,FS09B,P,1349134263.7017,2012-10-01 23:30:57.302812+00:00
185,185,15,2012-10-02 04:25:44.969762+00:00,-35.609544813977365,-123.0778390829742,43.359375,23,40.64099945621439,-125.17096562524158,43.359375,15,458,0.3354787826538086,FS09B,P,1349151954.0212,2012-10-02 04:25:44.969762+00:00
222,222,17,2012-10-02 05:16:27.234296+00:00,16.929127862382682,-128.41298422692896,48.828125,23,40.593549372365146,-124.5500101312573,48.828125,17,460,0.0595302581787109,FS09B,P,1349154995.6612,2012-10-02 05:16:27.234296+00:00
245,245,18,2012-10-02 06:17:20.349050+00:00,-44.94975328977471,-120.02918471500004,30.078125,12,40.66799666692382,-125.28159663763516,30.078125,18,472,-0.9195973873138428,FS09B,P,1349158648.1612,2012-10-02 06:17:20.349050+00:00
257,257,19,2012-10-02 06:48:08.430942+00:00,-37.94459693292671,-126.88865704294186,48.828125,25,40.60657931340015,-125.19833962981204,48.828125,19,478,0.313896894454956,FS09B,P,1349160498.0012,2012-10-02 06:48:08.430942+00:00
289,289,21,2012-10-02 20:28:52.819566+00:00,4.086341208161337,-132.98596577889018,39.453125,10,40.55253133561787,-124.7017560378443,39.453125,21,5777,-0.2388272285461425,FS13B,P,1349209738.6255,2012-10-02 20:28:52.819566+00:00
316,316,23,2012-10-03 01:14:34.098061+00:00,34.4420187545027,-139.08327451483848,49.609375,21,40.49691866533924,-124.34370879013473,49.609375,23,583,-0.0495429039001464,FS09B,P,1349226883.5806,2012-10-03 01:14:34.098061+00:00
337,337,24,2012-10-03 09:40:55.845496+00:00,-51.95490964662272,-142.89409247480614,49.609375,21,40.46169161726371,-125.36255864580336,49.609375,24,6107,0.1781072616577148,FS13B,P,1349257266.2719,2012-10-03 09:40:55.845496+00:00
367,367,26,2012-10-03 15:13:56.392679+00:00,-129.0116295719508,-142.89409247480614,33.984375,15,40.45330877187757,-126.27085957761687,33.984375,26,665,0.0932245254516601,FS09B,P,1349277256.4406,2012-10-03 15:13:56.392679+00:00
428,428,32,2012-10-04 06:01:28.847636+00:00,11.091497565009345,-155.0887099467027,49.609375,16,40.35342163369824,-124.61943805355936,49.609375,32,740,0.3532369136810303,FS09B,P,1349330497.0201,2012-10-04 06:01:28.847636+00:00
505,505,39,2012-10-04 22:24:13.388007+00:00,-8.756445446060008,-136.0346201468643,41.796875,17,40.52504097814547,-124.85333766339132,41.796875,39,812,0.2774639129638672,FS09B,P,1349389460.0201,2012-10-04 22:24:13.388007+00:00
555,555,42,2012-10-05 08:19:25.618903+00:00,-97.48842596613476,-132.98596577889018,49.609375,24,40.54680933605259,-125.90085300905352,49.609375,42,877,0.2715573310852051,FS09B,P,1349425181.799598,2012-10-05 08:19:25.618903+00:00
630,630,48,2012-10-05 15:42:56.063264+00:00,14.594075743433349,-145.18058325078675,49.609375,18,40.44259574876675,-124.57798118151165,49.609375,48,923,-0.3589823246002197,FS09B,P,1349451783.579598,2012-10-05 15:42:56.063264+00:00
648,648,49,2012-10-05 17:57:07.768487+00:00,0.5837630297373338,-148.22923761876086,49.609375,28,40.41526877775446,-124.74312203000628,49.609375,49,935,-0.1473667621612548,FS09B,P,1349459834.899598,2012-10-05 17:57:07.768487+00:00
692,692,51,2012-10-05 19:15:02.562627+00:00,14.594075743433349,-145.18058325078675,49.609375,25,40.44259574876675,-124.57798118151165,49.609375,51,941,-0.1383459568023681,FS09B,P,1349464510.299598,2012-10-05 19:15:02.562627+00:00
724,724,53,2012-10-05 20:04:05.890541+00:00,-9.923971505534675,-118.50485753101296,33.984375,16,40.682887502612914,-124.86739185168264,33.984375,53,158528,-0.4855804443359375,FS09B,S,1349467456.759598,2012-10-05 20:04:05.890541+00:00
