,network,station,location,band_inst,label,trace_starttime,trigger_onset,pick_time,trigger_offset,max_prob,thresh_prob
0,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T00:30:16.730000Z,2011-01-04T00:30:16.970000Z,2011-01-04T00:30:17.330000Z,0.08975595,0.05
1,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T00:31:30.470000Z,2011-01-04T00:31:30.580000Z,2011-01-04T00:31:30.710000Z,0.056863513,0.05
2,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T00:42:06.930000Z,2011-01-04T00:42:07.100000Z,2011-01-04T00:42:07.260000Z,0.06655303,0.05
3,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T01:09:07.850000Z,2011-01-04T01:09:07.990000Z,2011-01-04T01:09:08.100000Z,0.058281295,0.05
4,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T01:25:16.020000Z,2011-01-04T01:25:16.120000Z,2011-01-04T01:25:16.220000Z,0.05682879,0.05
5,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T01:29:30.710000Z,2011-01-04T01:29:30.910000Z,2011-01-04T01:29:31.100000Z,0.07608229,0.05
6,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T01:39:33.990000Z,2011-01-04T01:39:34.260000Z,2011-01-04T01:39:34.500000Z,0.08551791,0.05
7,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T01:52:14.640000Z,2011-01-04T01:52:14.840000Z,2011-01-04T01:52:15.020000Z,0.07091482,0.05
8,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T02:21:49.890000Z,2011-01-04T02:21:50.040000Z,2011-01-04T02:21:50.180000Z,0.06210374,0.05
9,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T02:34:51.970000Z,2011-01-04T02:34:52.130000Z,2011-01-04T02:34:52.290000Z,0.059782635,0.05
10,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T02:49:32.700000Z,2011-01-04T02:49:32.890000Z,2011-01-04T02:49:33.070000Z,0.07468965,0.05
11,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T03:14:59.120000Z,2011-01-04T03:14:59.290000Z,2011-01-04T03:14:59.360000Z,0.059070658,0.05
12,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T03:32:35.810000Z,2011-01-04T03:32:35.930000Z,2011-01-04T03:32:36.050000Z,0.057881664,0.05
13,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T03:45:26.400000Z,2011-01-04T03:45:26.490000Z,2011-01-04T03:45:26.560000Z,0.05440522,0.05
14,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T03:47:09.890000Z,2011-01-04T03:47:10.000000Z,2011-01-04T03:47:10.350000Z,0.13538806,0.05
15,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T03:57:55.450000Z,2011-01-04T03:57:55.770000Z,2011-01-04T03:57:56.040000Z,0.08887531,0.05
16,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T04:01:30.520000Z,2011-01-04T04:01:30.860000Z,2011-01-04T04:01:31.140000Z,0.10928132,0.05
17,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T04:04:29.190000Z,2011-01-04T04:04:29.480000Z,2011-01-04T04:04:29.740000Z,0.097797215,0.05
18,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T04:06:38.810000Z,2011-01-04T04:06:39.030000Z,2011-01-04T04:06:39.220000Z,0.07056288,0.05
19,CN,ALB,,EH,P,2011-01-04T00:00:00.000000Z,2011-01-04T04:10:50.440000Z,2011-01-04T04:10:50.550000Z,2011-01-04T04:10:50.650000Z,0.056969788,0.05
