,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,,2012-10-24T00:54:10.040000Z
1, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,,2012-10-24T04:51:41.315000Z
2, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,,2012-10-24T14:37:50.615000Z
3, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,,2012-10-24T16:08:27.865000Z
4, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,,2012-10-24T16:10:01.465000Z
5, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,,2012-10-24T20:59:13.815000Z
6, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,,2012-10-24T22:11:24.265000Z
7, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,,2012-10-24T22:31:43.565000Z
8, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,2012-10-24T00:03:30.440000Z,
9, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,2012-10-24T02:45:03.365000Z,
10, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,2012-10-24T17:50:20.690000Z,
11, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,2012-10-24T19:53:28.040000Z,
12, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,2012-10-24T20:34:54.890000Z,
13, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,2012-10-24T20:38:58.990000Z,
14, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,2012-10-24T20:42:42.065000Z,
15, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,2012-10-24T21:44:00.790000Z,
16, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,2012-10-24T22:14:12.390000Z,
17, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,2012-10-24T22:41:35.865000Z,
18, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,2012-10-24T22:59:57.740000Z,
19, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,2012-10-24T23:13:42.665000Z,
20, , ,7D, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-10-24T00:00:00.015000Z, , , , , ,2012-10-24T23:16:32.665000Z,
