,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T00:01:08.361200Z
1, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T00:06:40.705200Z
2, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T00:08:23.537200Z
3, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T00:08:44.401200Z
4, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T00:11:11.649200Z
5, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T00:15:57.089200Z
6, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T00:32:55.409200Z
7, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T00:38:24.129200Z
8, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T00:43:53.529200Z
9, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T00:55:17.473200Z
10, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T00:56:52.241200Z
11, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T00:56:53.585200Z
12, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T00:57:40.193200Z
13, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T01:03:50.937200Z
14, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T01:07:23.281200Z
15, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T01:11:03.241200Z
16, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T01:12:05.649200Z
17, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T01:12:53.657200Z
18, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T01:23:45.705200Z
19, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T01:24:47.417200Z
20, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T01:31:59.425200Z
21, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T01:42:25.649200Z
22, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T01:48:07.025200Z
23, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T01:51:29.225200Z
24, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T01:53:36.593200Z
25, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T01:57:04.961200Z
26, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T02:06:10.113200Z
27, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T02:12:57.329200Z
28, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T02:21:10.217200Z
29, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T02:23:57.961200Z
30, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T02:25:37.281200Z
31, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T02:25:47.889200Z
32, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T02:27:37.257200Z
33, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T02:28:50.097200Z
34, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T02:30:25.833200Z
35, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T02:40:35.593200Z
36, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T02:41:24.953200Z
37, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T02:52:01.561200Z
38, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T02:53:36.457200Z
39, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T02:58:10.825200Z
40, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T03:00:09.089200Z
41, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T04:29:06.377200Z
42, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T04:57:02.697200Z
43, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T05:09:30.513200Z
44, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T05:10:54.345200Z
45, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T05:33:37.233200Z
46, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T05:48:56.497200Z
47, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T05:57:25.297200Z
48, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T06:07:10.153200Z
49, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T06:15:06.209200Z
50, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T06:16:30.977200Z
51, , ,7D, ,FS13B,,40.493099,-124.806503,-2332.0, ,125.0,2012-10-28T00:00:00.001200Z, , , , , ,,2012-10-28T06:28:58.433200Z
