,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,G17B,,41.283901,-124.344597,-123.0, ,125.0,2012-10-28T00:00:00.001700Z, , , , , ,,2012-10-28T00:02:24.193700Z
1, , ,7D, ,G17B,,41.283901,-124.344597,-123.0, ,125.0,2012-10-28T00:00:00.001700Z, , , , , ,,2012-10-28T00:20:24.753700Z
2, , ,7D, ,G17B,,41.283901,-124.344597,-123.0, ,125.0,2012-10-28T00:00:00.001700Z, , , , , ,,2012-10-28T00:22:58.241700Z
3, , ,7D, ,G17B,,41.283901,-124.344597,-123.0, ,125.0,2012-10-28T00:00:00.001700Z, , , , , ,,2012-10-28T00:30:31.329700Z
4, , ,7D, ,G17B,,41.283901,-124.344597,-123.0, ,125.0,2012-10-28T00:00:00.001700Z, , , , , ,,2012-10-28T00:30:53.241700Z
5, , ,7D, ,G17B,,41.283901,-124.344597,-123.0, ,125.0,2012-10-28T00:00:00.001700Z, , , , , ,,2012-10-28T00:34:53.297700Z
6, , ,7D, ,G17B,,41.283901,-124.344597,-123.0, ,125.0,2012-10-28T00:00:00.001700Z, , , , , ,,2012-10-28T00:35:57.281700Z
7, , ,7D, ,G17B,,41.283901,-124.344597,-123.0, ,125.0,2012-10-28T00:00:00.001700Z, , , , , ,,2012-10-28T00:37:46.297700Z
8, , ,7D, ,G17B,,41.283901,-124.344597,-123.0, ,125.0,2012-10-28T00:00:00.001700Z, , , , , ,,2012-10-28T00:38:38.689700Z
9, , ,7D, ,G17B,,41.283901,-124.344597,-123.0, ,125.0,2012-10-28T00:00:00.001700Z, , , , , ,,2012-10-28T00:39:18.625700Z
10, , ,7D, ,G17B,,41.283901,-124.344597,-123.0, ,125.0,2012-10-28T00:00:00.001700Z, , , , , ,,2012-10-28T00:40:01.649700Z
11, , ,7D, ,G17B,,41.283901,-124.344597,-123.0, ,125.0,2012-10-28T00:00:00.001700Z, , , , , ,,2012-10-28T00:43:47.721700Z
12, , ,7D, ,G17B,,41.283901,-124.344597,-123.0, ,125.0,2012-10-28T00:00:00.001700Z, , , , , ,,2012-10-28T00:46:19.697700Z
