,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T00:58:38.950000Z
1, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T01:44:31.875000Z
2, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T03:44:31.625000Z
3, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T06:29:30.325000Z
4, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T07:22:16.025000Z
5, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T07:32:07.050000Z
6, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T07:34:59.675000Z
7, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T07:44:04.750000Z
8, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T09:39:49.900000Z
9, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T10:30:55.450000Z
10, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T11:03:41.225000Z
11, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T11:10:28.325000Z
12, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T12:07:53.275000Z
13, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T12:13:00.075000Z
14, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T12:23:23.350000Z
15, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T12:32:15.025000Z
16, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T13:47:29.200000Z
17, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T14:44:27.550000Z
18, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T15:09:06.525000Z
19, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T15:52:17.150000Z
20, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T16:53:36.700000Z
21, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T17:45:55.900000Z
22, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T17:49:49.350000Z
23, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T18:55:55.225000Z
24, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,,2012-10-22T19:39:45.650000Z
25, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T00:59:06.600000Z,
26, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T01:05:21.500000Z,
27, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T01:30:25.400000Z,
28, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T01:37:32.625000Z,
29, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T03:46:45.925000Z,
30, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T04:57:14.650000Z,
31, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T06:29:30.425000Z,
32, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T07:20:23.350000Z,
33, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T07:35:08.250000Z,
34, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T07:48:16.950000Z,
35, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T09:00:48.375000Z,
36, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T09:07:03.625000Z,
37, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T09:12:26.250000Z,
38, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T09:47:21.025000Z,
39, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T09:54:37.625000Z,
40, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T10:40:28.875000Z,
41, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T10:44:27.050000Z,
42, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T12:06:13.225000Z,
43, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T12:13:06.700000Z,
44, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T13:07:35.875000Z,
45, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T14:28:22.975000Z,
46, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T14:37:29.225000Z,
47, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T14:41:42.525000Z,
48, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T15:09:16.400000Z,
49, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T15:56:10.750000Z,
50, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T16:18:56.700000Z,
51, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T16:37:31.125000Z,
52, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T18:55:55.200000Z,
53, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T20:34:56.850000Z,
54, , ,7D, ,J01E,,43.161499,-123.931396,128.0, ,40.0,2012-10-22T00:00:00.000000Z, , , , , ,2012-10-22T21:41:12.075000Z,
