,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T00:06:10.008651Z
1, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T00:13:00.088651Z
2, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T00:17:45.748651Z
3, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T00:28:20.468651Z
4, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T00:48:39.488651Z
5, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T00:51:35.968651Z
6, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T00:58:31.948651Z
7, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T01:00:02.428651Z
8, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T01:04:01.208651Z
9, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T01:12:18.268651Z
10, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T01:19:14.768651Z
11, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T01:35:52.668651Z
12, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T01:40:11.488651Z
13, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T01:45:57.408651Z
14, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T01:46:12.468651Z
15, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T01:51:13.288651Z
16, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T02:00:27.768651Z
17, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T02:03:56.348651Z
18, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T02:06:05.788651Z
19, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T02:15:58.028651Z
20, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T02:22:13.228651Z
21, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T02:25:41.848651Z
22, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T02:29:42.108651Z
23, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T02:32:59.628651Z
24, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T02:33:55.488651Z
25, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T02:38:34.088651Z
26, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T02:45:07.328651Z
27, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T02:46:25.948651Z
28, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T02:54:21.948651Z
29, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T02:59:01.668651Z
30, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T03:01:01.768651Z
31, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T03:01:49.168651Z
32, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T03:05:26.948651Z
33, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T03:08:00.648651Z
34, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T03:15:51.068651Z
35, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T03:31:10.908651Z
36, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T03:44:51.428651Z
37, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T03:52:38.728651Z
38, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T04:08:28.728651Z
39, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T04:25:06.408651Z
40, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T04:29:51.288651Z
41, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T04:37:59.928651Z
42, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T04:45:43.928651Z
43, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T04:47:05.868651Z
44, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T04:59:58.168651Z
45, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T05:03:34.328651Z
46, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T05:18:06.848651Z
47, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-22T00:00:00.008651Z, , , , , ,,2012-10-22T05:20:50.828651Z
