,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,M14B,,40.985001,-124.589699,-638.0, ,50.0,2012-10-10T00:00:00.009886Z, , , , , ,,2012-10-10T00:05:21.589886Z
1, , ,7D, ,M14B,,40.985001,-124.589699,-638.0, ,50.0,2012-10-10T00:00:00.009886Z, , , , , ,,2012-10-10T00:07:16.809886Z
2, , ,7D, ,M14B,,40.985001,-124.589699,-638.0, ,50.0,2012-10-10T00:00:00.009886Z, , , , , ,,2012-10-10T00:13:09.069886Z
3, , ,7D, ,M14B,,40.985001,-124.589699,-638.0, ,50.0,2012-10-10T00:00:00.009886Z, , , , , ,,2012-10-10T00:24:18.629886Z
4, , ,7D, ,M14B,,40.985001,-124.589699,-638.0, ,50.0,2012-10-10T00:00:00.009886Z, , , , , ,,2012-10-10T00:26:19.929886Z
5, , ,7D, ,M14B,,40.985001,-124.589699,-638.0, ,50.0,2012-10-10T00:00:00.009886Z, , , , , ,,2012-10-10T00:34:39.069886Z
6, , ,7D, ,M14B,,40.985001,-124.589699,-638.0, ,50.0,2012-10-10T00:00:00.009886Z, , , , , ,,2012-10-10T00:41:25.009886Z
7, , ,7D, ,M14B,,40.985001,-124.589699,-638.0, ,50.0,2012-10-10T00:00:00.009886Z, , , , , ,,2012-10-10T00:43:32.389886Z
8, , ,7D, ,M14B,,40.985001,-124.589699,-638.0, ,50.0,2012-10-10T00:00:00.009886Z, , , , , ,,2012-10-10T00:46:02.569886Z
9, , ,7D, ,M14B,,40.985001,-124.589699,-638.0, ,50.0,2012-10-10T00:00:00.009886Z, , , , , ,,2012-10-10T00:48:19.389886Z
10, , ,7D, ,M14B,,40.985001,-124.589699,-638.0, ,50.0,2012-10-10T00:00:00.009886Z, , , , , ,,2012-10-10T00:59:19.889886Z
11, , ,7D, ,M14B,,40.985001,-124.589699,-638.0, ,50.0,2012-10-10T00:00:00.009886Z, , , , , ,,2012-10-10T01:21:28.929886Z
12, , ,7D, ,M14B,,40.985001,-124.589699,-638.0, ,50.0,2012-10-10T00:00:00.009886Z, , , , , ,,2012-10-10T01:25:33.689886Z
13, , ,7D, ,M14B,,40.985001,-124.589699,-638.0, ,50.0,2012-10-10T00:00:00.009886Z, , , , , ,,2012-10-10T01:28:08.329886Z
14, , ,7D, ,M14B,,40.985001,-124.589699,-638.0, ,50.0,2012-10-10T00:00:00.009886Z, , , , , ,,2012-10-10T01:36:00.109886Z
15, , ,7D, ,M14B,,40.985001,-124.589699,-638.0, ,50.0,2012-10-10T00:00:00.009886Z, , , , , ,,2012-10-10T02:22:51.729886Z
16, , ,7D, ,M14B,,40.985001,-124.589699,-638.0, ,50.0,2012-10-10T00:00:00.009886Z, , , , , ,,2012-10-10T02:37:20.049886Z
17, , ,7D, ,M14B,,40.985001,-124.589699,-638.0, ,50.0,2012-10-10T00:00:00.009886Z, , , , , ,,2012-10-10T02:44:58.189886Z
18, , ,7D, ,M14B,,40.985001,-124.589699,-638.0, ,50.0,2012-10-10T00:00:00.009886Z, , , , , ,,2012-10-10T02:48:07.969886Z
