,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T01:25:34.328200Z
1, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T01:46:47.048200Z
2, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T01:55:07.528200Z
3, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T02:05:41.968200Z
4, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T02:26:19.068200Z
5, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T02:28:43.888200Z
6, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T02:49:53.008200Z
7, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T02:57:12.508200Z
8, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T03:19:34.368200Z
9, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T03:21:45.868200Z
10, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T03:27:59.448200Z
11, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T03:33:32.928200Z
12, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T03:40:51.328200Z
13, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T03:42:27.488200Z
14, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T03:43:59.148200Z
15, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T03:47:16.008200Z
16, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T03:55:54.848200Z
17, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T03:57:47.848200Z
18, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T04:01:14.708200Z
19, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T04:02:42.268200Z
20, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T04:15:18.348200Z
21, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T04:15:30.528200Z
22, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T04:16:16.008200Z
23, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T04:21:34.648200Z
24, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T04:25:29.128200Z
25, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T04:56:56.088200Z
26, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T05:19:48.368200Z
27, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T05:45:44.968200Z
28, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T05:46:39.068200Z
29, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T05:56:32.368200Z
30, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T05:58:19.248200Z
31, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T06:00:31.028200Z
32, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T06:01:28.708200Z
33, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T06:02:31.308200Z
34, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T06:03:06.368200Z
35, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T06:07:16.828200Z
36, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T06:09:13.528200Z
37, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T06:15:07.068200Z
38, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T06:22:41.648200Z
39, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T06:25:44.028200Z
40, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T06:27:46.328200Z
41, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T06:32:21.728200Z
42, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T06:49:17.768200Z
43, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T07:10:08.688200Z
44, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T07:17:05.108200Z
45, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T07:18:15.808200Z
46, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T07:22:02.648200Z
47, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T07:23:16.008200Z
48, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T07:26:17.768200Z
49, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T07:29:39.728200Z
50, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T07:30:31.248200Z
51, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T07:39:37.768200Z
52, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T07:40:37.608200Z
53, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T07:44:53.248200Z
54, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T07:48:07.448200Z
55, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T07:49:16.388200Z
56, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T07:50:53.288200Z
57, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T08:10:01.548200Z
58, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T08:15:58.948200Z
59, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T08:28:22.608200Z
60, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T08:40:45.348200Z
61, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T08:51:15.268200Z
62, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T08:56:32.828200Z
63, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T08:59:46.328200Z
64, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T09:03:19.448200Z
65, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T09:14:31.708200Z
66, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T09:15:56.988200Z
67, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T09:16:53.808200Z
68, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T09:23:06.008200Z
69, , ,7D, ,FS09B,,40.438702,-124.808502,-2161.0, ,50.0,2012-10-26T00:00:00.008200Z, , , , , ,,2012-10-26T09:36:25.988200Z
