,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T00:54:59.273901Z
1, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T00:57:43.881911Z
2, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T01:15:03.881975Z
3, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T01:46:16.610089Z
4, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T02:20:02.602213Z
5, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T02:50:29.090324Z
6, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T03:04:36.346376Z
7, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T03:24:15.586448Z
8, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T03:33:34.994482Z
9, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T04:00:54.618582Z
10, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T06:00:39.971021Z
11, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T06:15:04.299074Z
12, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T06:18:48.443087Z
13, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T06:45:23.659185Z
14, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T07:02:05.835246Z
15, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T07:08:03.235268Z
16, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T07:31:17.659353Z
17, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T07:38:49.059380Z
18, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T09:44:56.251842Z
19, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T09:54:25.843877Z
20, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T10:01:02.283901Z
21, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T10:09:23.275932Z
22, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T11:53:12.756312Z
23, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T11:56:03.348322Z
24, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T12:13:19.732386Z
25, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T12:28:56.916443Z
26, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T12:34:53.460464Z
27, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T12:35:53.748468Z
28, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T12:50:21.004521Z
29, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T13:02:41.676566Z
30, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T13:03:18.060569Z
31, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T13:20:11.164630Z
32, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T13:21:48.444636Z
33, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T13:22:51.012640Z
34, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T13:59:26.924774Z
35, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T14:08:07.132806Z
36, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T14:25:04.996868Z
37, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T14:29:05.740883Z
38, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T15:36:55.821131Z
39, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T15:42:41.173152Z
40, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T15:50:56.781182Z
41, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T16:01:32.909221Z
42, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T16:14:01.709267Z
43, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T16:14:18.253268Z
44, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T16:16:41.029277Z
45, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T16:23:43.757303Z
46, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T16:33:04.685337Z
47, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T16:33:09.429337Z
48, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T16:37:34.325353Z
49, , ,7D, ,G26B,,41.9249,-125.177498,-2357.0, ,124.99999237060547,2012-10-29T00:00:00.001700Z, , , , , ,,2012-10-29T16:38:36.445357Z
