,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T00:22:03.253029Z
1, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T00:47:52.933029Z
2, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T00:57:23.653029Z
3, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T01:24:32.813029Z
4, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T01:28:42.053029Z
5, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T02:05:45.893029Z
6, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T02:23:31.533029Z
7, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T02:31:57.473029Z
8, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T02:37:56.273029Z
9, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T02:45:10.633029Z
10, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T02:52:42.893029Z
11, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T02:57:02.433029Z
12, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T02:57:55.393029Z
13, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T03:14:27.053029Z
14, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T03:16:24.213029Z
15, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T03:44:31.673029Z
16, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T04:12:39.573029Z
17, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T04:40:40.273029Z
18, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T04:53:22.673029Z
19, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T05:13:44.293029Z
20, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T05:33:47.393029Z
21, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T06:01:23.333029Z
22, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T06:08:15.813029Z
23, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T06:13:50.413029Z
24, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T06:16:22.213029Z
25, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T06:25:12.393029Z
26, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T06:36:05.893029Z
27, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T06:46:18.913029Z
28, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T06:49:20.293029Z
29, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T06:52:50.853029Z
30, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T07:30:01.333029Z
31, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T07:33:40.073029Z
32, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T07:40:56.753029Z
33, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T07:44:27.933029Z
34, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T07:47:35.413029Z
35, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T07:56:56.933029Z
36, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T07:59:05.113029Z
37, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T08:32:46.273029Z
38, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T09:36:55.933029Z
39, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T09:41:55.653029Z
40, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T09:43:06.773029Z
41, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T10:01:18.993029Z
42, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T10:38:54.053029Z
43, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T10:50:01.873029Z
44, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T11:07:45.293029Z
45, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T11:17:35.853029Z
46, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T11:26:59.253029Z
47, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T11:28:08.533029Z
48, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T11:49:08.213029Z
49, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T11:50:58.813029Z
50, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T12:19:00.593029Z
51, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T12:47:32.533029Z
52, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T12:55:21.833029Z
53, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T13:48:47.053029Z
54, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T13:58:40.173029Z
55, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T14:05:48.653029Z
56, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T14:12:51.473029Z
57, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T14:21:35.733029Z
58, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T14:51:22.873029Z
59, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T14:59:01.033029Z
60, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T15:07:07.333029Z
61, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T15:17:04.733029Z
62, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T15:38:47.413029Z
63, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T15:41:22.673029Z
64, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T15:46:56.673029Z
65, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T15:48:48.033029Z
66, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T16:23:43.453029Z
67, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T16:25:59.533029Z
68, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T16:44:08.893029Z
69, , ,7D, ,J09B,,43.151001,-124.726997,-252.0, ,50.0,2012-10-17T00:00:00.013029Z, , , , , ,,2012-10-17T17:10:51.833029Z
