,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T00:07:11.580000Z
1, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T00:16:57.750000Z
2, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T00:20:58.800000Z
3, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T00:21:22.880000Z
4, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T00:22:58.100000Z
5, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T00:59:26.750000Z
6, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T01:33:08.040000Z
7, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T02:15:53.380000Z
8, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T02:52:29.290000Z
9, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T03:12:51.710000Z
10, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T03:17:49.070000Z
11, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T03:26:46.330000Z
12, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T05:40:21.020000Z
13, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T05:42:30.920000Z
14, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T05:45:18.610000Z
15, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T05:46:39.900000Z
16, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T05:50:52.920000Z
17, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T05:53:48.180000Z
18, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T05:56:45.620000Z
19, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T05:59:00.650000Z
20, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T06:04:20.980000Z
21, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T06:08:55.360000Z
22, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T06:17:52.210000Z
23, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T06:25:21.260000Z
24, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T06:37:48.110000Z
25, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T06:39:48.600000Z
26, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T06:44:19.610000Z
27, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T06:51:54.890000Z
28, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T07:02:05.700000Z
29, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T07:05:01.450000Z
30, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T07:08:01.030000Z
31, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T07:08:56.300000Z
32, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T07:18:25.610000Z
33, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T07:20:28.410000Z
34, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T07:36:51.790000Z
35, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T07:47:27.980000Z
36, , ,NC, ,KHBB,,40.659901,-123.219658,1864.0, ,100.0,2012-10-26T00:00:00.000000Z, , , , , ,,2012-10-26T08:07:19.270000Z
