,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T00:22:38.160000Z
1, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T00:25:09.760000Z
2, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T00:56:31.650000Z
3, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T02:33:45.310000Z
4, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T02:55:14.300000Z
5, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T02:57:10.430000Z
6, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T04:12:51.550000Z
7, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T05:04:10.170000Z
8, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T11:01:33.610000Z
9, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T13:37:36.040000Z
10, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T16:03:25.550000Z
11, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T16:18:30.830000Z
12, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T18:28:43.920000Z
13, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,,2012-10-20T22:32:49.440000Z
14, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T00:22:44.590000Z,
15, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T00:25:12.910000Z,
16, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T00:28:01.110000Z,
17, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T00:56:58.900000Z,
18, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T02:12:18.410000Z,
19, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T02:33:50.890000Z,
20, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T02:55:42.110000Z,
21, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T02:57:17.930000Z,
22, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T03:45:56.500000Z,
23, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T04:56:21.490000Z,
24, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T05:04:14.960000Z,
25, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T07:03:53.710000Z,
26, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T09:08:50.500000Z,
27, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T11:01:38.470000Z,
28, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T13:37:45.190000Z,
29, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T16:18:37.870000Z,
30, , ,NC, ,KMPB,,40.417194,-124.120758,938.0, ,100.0,2012-10-20T00:00:00.000000Z, , , , , ,2012-10-20T18:28:50.040000Z,
