,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,,2012-10-09T00:16:56.893700Z
1, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,,2012-10-09T03:15:48.213700Z
2, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,,2012-10-09T03:27:35.693700Z
3, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,,2012-10-09T03:43:10.153700Z
4, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,,2012-10-09T05:56:59.453700Z
5, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,,2012-10-09T10:16:37.543700Z
6, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,,2012-10-09T11:17:57.483700Z
7, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,,2012-10-09T11:21:05.993700Z
8, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,,2012-10-09T12:26:28.763700Z
9, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,,2012-10-09T14:46:46.013700Z
10, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,,2012-10-09T16:36:16.933700Z
11, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,,2012-10-09T16:57:57.703700Z
12, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,,2012-10-09T17:46:09.003700Z
13, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,,2012-10-09T18:05:19.213700Z
14, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,,2012-10-09T18:27:07.003700Z
15, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,,2012-10-09T19:02:57.873700Z
16, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,,2012-10-09T20:37:26.453700Z
17, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,2012-10-09T00:19:06.973700Z,
18, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,2012-10-09T02:53:30.093700Z,
19, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,2012-10-09T03:16:16.943700Z,
20, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,2012-10-09T03:27:39.733700Z,
21, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,2012-10-09T04:27:48.033700Z,
22, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,2012-10-09T05:45:40.163700Z,
23, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,2012-10-09T11:18:08.743700Z,
24, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,2012-10-09T11:21:16.733700Z,
25, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,2012-10-09T13:29:50.553700Z,
26, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,2012-10-09T14:46:46.023700Z,
27, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,2012-10-09T14:47:01.303700Z,
28, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,2012-10-09T16:13:21.523700Z,
29, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,2012-10-09T17:01:17.473700Z,
30, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,2012-10-09T18:05:38.433700Z,
31, , ,NC, ,KSXB,,41.830379,-123.876884,1136.0, ,100.0,2012-10-09T00:00:00.003700Z, , , , , ,2012-10-09T19:42:54.483700Z,
