,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-01-04T00:00:00.005000Z, , , , , ,,2012-01-04T02:13:16.330000Z
1, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-01-04T00:00:00.005000Z, , , , , ,,2012-01-04T12:34:59.205000Z
2, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-01-04T00:00:00.005000Z, , , , , ,,2012-01-04T18:48:24.030000Z
3, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-01-04T00:00:00.005000Z, , , , , ,,2012-01-04T23:50:00.030000Z
4, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-01-04T00:00:00.005000Z, , , , , ,2012-01-04T01:57:01.030000Z,
5, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-01-04T00:00:00.005000Z, , , , , ,2012-01-04T02:13:18.630000Z,
6, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-01-04T00:00:00.005000Z, , , , , ,2012-01-04T03:16:21.080000Z,
7, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-01-04T00:00:00.005000Z, , , , , ,2012-01-04T05:36:09.255000Z,
8, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-01-04T00:00:00.005000Z, , , , , ,2012-01-04T07:31:22.130000Z,
9, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-01-04T00:00:00.005000Z, , , , , ,2012-01-04T09:23:10.605000Z,
10, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-01-04T00:00:00.005000Z, , , , , ,2012-01-04T18:21:22.080000Z,
11, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-01-04T00:00:00.005000Z, , , , , ,2012-01-04T18:58:21.430000Z,
12, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-01-04T00:00:00.005000Z, , , , , ,2012-01-04T19:33:30.130000Z,
13, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-01-04T00:00:00.005000Z, , , , , ,2012-01-04T19:42:25.955000Z,
14, , ,UW, ,BABR,,44.62132,-123.78924,438.7, ,40.0,2012-01-04T00:00:00.005000Z, , , , , ,2012-01-04T22:04:46.505000Z,
