,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-27T00:00:00.005700Z, , , , , ,,2012-10-27T00:04:38.015700Z
1, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-27T00:00:00.005700Z, , , , , ,,2012-10-27T00:20:04.305700Z
2, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-27T00:00:00.005700Z, , , , , ,,2012-10-27T00:23:04.295700Z
3, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-27T00:00:00.005700Z, , , , , ,,2012-10-27T00:43:33.755700Z
4, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-27T00:00:00.005700Z, , , , , ,,2012-10-27T00:50:39.405700Z
5, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-27T00:00:00.005700Z, , , , , ,,2012-10-27T00:51:48.125700Z
6, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-27T00:00:00.005700Z, , , , , ,,2012-10-27T01:33:44.445700Z
7, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-27T00:00:00.005700Z, , , , , ,,2012-10-27T01:40:55.935700Z
8, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-27T00:00:00.005700Z, , , , , ,,2012-10-27T02:23:41.655700Z
9, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-27T00:00:00.005700Z, , , , , ,,2012-10-27T02:29:50.915700Z
10, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-27T00:00:00.005700Z, , , , , ,,2012-10-27T02:53:44.395700Z
11, , ,X9, ,BB030,,42.9473,-126.933601,-2730.0, ,100.0,2012-10-27T00:00:00.005700Z, , , , , ,,2012-10-27T03:11:45.825700Z
