,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2012-08-02T00:00:00.000000Z, , , , , ,,2012-08-02T03:34:01.840000Z
1, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2012-08-02T00:00:00.000000Z, , , , , ,,2012-08-02T03:49:22.890000Z
2, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2012-08-02T00:00:00.000000Z, , , , , ,,2012-08-02T17:57:35.980000Z
3, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2012-08-02T00:00:00.000000Z, , , , , ,,2012-08-02T18:36:10.010000Z
4, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2012-08-02T00:00:00.000000Z, , , , , ,,2012-08-02T18:50:39.580000Z
5, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2012-08-02T00:00:00.000000Z, , , , , ,,2012-08-02T19:12:10.530000Z
6, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2012-08-02T00:00:00.000000Z, , , , , ,,2012-08-02T20:01:33.820000Z
7, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2012-08-02T00:00:00.000000Z, , , , , ,,2012-08-02T20:22:40.090000Z
8, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2012-08-02T00:00:00.000000Z, , , , , ,,2012-08-02T20:39:27.920000Z
9, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2012-08-02T00:00:00.000000Z, , , , , ,,2012-08-02T21:54:47.250000Z
10, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2012-08-02T00:00:00.000000Z, , , , , ,,2012-08-02T22:35:52.920000Z
11, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2012-08-02T00:00:00.000000Z, , , , , ,,2012-08-02T22:52:44.540000Z
12, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2012-08-02T00:00:00.000000Z, , , , , ,2012-08-02T03:34:08.880000Z,
13, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2012-08-02T00:00:00.000000Z, , , , , ,2012-08-02T17:57:35.990000Z,
14, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2012-08-02T00:00:00.000000Z, , , , , ,2012-08-02T18:36:10.110000Z,
15, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2012-08-02T00:00:00.000000Z, , , , , ,2012-08-02T19:12:24.940000Z,
16, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2012-08-02T00:00:00.000000Z, , , , , ,2012-08-02T20:22:40.450000Z,
17, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2012-08-02T00:00:00.000000Z, , , , , ,2012-08-02T20:39:38.140000Z,
18, , ,CN, ,BTB,,49.4686,-125.5226,1607.0, ,100.0,2012-08-02T00:00:00.000000Z, , , , , ,2012-08-02T22:52:54.610000Z,
