,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,,2012-10-04T00:43:08.575000Z
1, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,,2012-10-04T01:16:08.775000Z
2, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,,2012-10-04T02:12:23.150000Z
3, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,,2012-10-04T03:17:25.650000Z
4, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,,2012-10-04T03:45:00.300000Z
5, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,,2012-10-04T09:46:02.100000Z
6, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,,2012-10-04T16:18:42.225000Z
7, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,,2012-10-04T18:33:43.675000Z
8, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,,2012-10-04T23:02:51.100000Z
9, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T01:07:38.975000Z,
10, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T03:00:00.825000Z,
11, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T03:24:28.150000Z,
12, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T03:45:11.700000Z,
13, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T04:53:36.675000Z,
14, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T06:17:40.175000Z,
15, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T06:48:11.600000Z,
16, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T08:28:30.675000Z,
17, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T09:13:35.750000Z,
18, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T09:17:28.825000Z,
19, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T09:22:28.950000Z,
20, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T09:46:12.900000Z,
21, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T10:59:22.350000Z,
22, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T11:05:48.200000Z,
23, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T13:07:59.400000Z,
24, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T18:27:44.100000Z,
25, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T20:40:12.850000Z,
26, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T20:42:29.175000Z,
27, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T20:54:37.650000Z,
28, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T21:44:25.500000Z,
29, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T21:49:48.500000Z,
30, , ,TA, ,D03D,,47.534698,-123.089401,262.0, ,40.0,2012-10-04T00:00:00.025000Z, , , , , ,2012-10-04T22:55:07.825000Z,
