,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,,2012-04-02T01:23:52.055000Z
1, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,,2012-04-02T03:21:42.705000Z
2, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,,2012-04-02T06:26:40.155000Z
3, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,,2012-04-02T07:49:05.955000Z
4, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,,2012-04-02T10:14:04.280000Z
5, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,,2012-04-02T11:53:43.080000Z
6, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,,2012-04-02T12:19:39.830000Z
7, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,,2012-04-02T15:49:44.605000Z
8, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,,2012-04-02T17:22:04.255000Z
9, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,,2012-04-02T18:41:33.755000Z
10, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,,2012-04-02T22:31:36.605000Z
11, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,,2012-04-02T22:57:15.855000Z
12, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,2012-04-02T01:01:21.330000Z,
13, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,2012-04-02T06:26:51.130000Z,
14, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,2012-04-02T07:49:16.730000Z,
15, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,2012-04-02T08:01:02.630000Z,
16, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,2012-04-02T08:13:29.280000Z,
17, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,2012-04-02T08:22:24.230000Z,
18, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,2012-04-02T10:09:14.630000Z,
19, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,2012-04-02T10:11:15.530000Z,
20, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,2012-04-02T11:53:51.655000Z,
21, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,2012-04-02T13:26:01.730000Z,
22, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,2012-04-02T16:36:02.930000Z,
23, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,2012-04-02T18:41:40.005000Z,
24, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,2012-04-02T19:29:14.255000Z,
25, , ,UO, ,DBO,,43.118721,-123.244423,957.0, ,40.0,2012-04-02T00:00:00.005000Z, , , , , ,2012-04-02T19:39:45.405000Z,
