,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-03-28T00:00:00.024998Z, , , , , ,,2012-03-28T05:43:26.174998Z
1, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-03-28T00:00:00.024998Z, , , , , ,,2012-03-28T07:02:32.999998Z
2, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-03-28T00:00:00.024998Z, , , , , ,,2012-03-28T08:10:06.949998Z
3, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-03-28T00:00:00.024998Z, , , , , ,,2012-03-28T08:52:04.674998Z
4, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-03-28T00:00:00.024998Z, , , , , ,,2012-03-28T19:04:05.049998Z
5, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-03-28T00:00:00.024998Z, , , , , ,2012-03-28T05:44:16.899998Z,
6, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-03-28T00:00:00.024998Z, , , , , ,2012-03-28T10:43:37.274998Z,
7, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-03-28T00:00:00.024998Z, , , , , ,2012-03-28T13:48:05.474998Z,
8, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-03-28T00:00:00.024998Z, , , , , ,2012-03-28T17:54:37.049998Z,
9, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-03-28T00:00:00.024998Z, , , , , ,2012-03-28T18:47:19.849998Z,
10, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-03-28T00:00:00.024998Z, , , , , ,2012-03-28T19:04:08.424998Z,
11, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-03-28T00:00:00.024998Z, , , , , ,2012-03-28T19:56:55.799998Z,
12, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-03-28T00:00:00.024998Z, , , , , ,2012-03-28T20:17:29.674998Z,
13, , ,TA, ,F04D,,46.082901,-123.010803,236.0, ,40.0,2012-03-28T00:00:00.024998Z, , , , , ,2012-03-28T22:19:24.399998Z,
