,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,,2012-03-23T00:25:17.875000Z
1, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,,2012-03-23T00:31:55.625000Z
2, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,,2012-03-23T01:39:26.025000Z
3, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,,2012-03-23T01:52:04.250000Z
4, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,,2012-03-23T02:19:09.850000Z
5, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,,2012-03-23T05:44:10.625000Z
6, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,,2012-03-23T06:47:02.025000Z
7, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,,2012-03-23T15:35:06.275000Z
8, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,,2012-03-23T15:46:51.425000Z
9, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,,2012-03-23T17:22:51.625000Z
10, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,,2012-03-23T18:52:39.025000Z
11, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,,2012-03-23T19:05:02.225000Z
12, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,,2012-03-23T19:33:09.025000Z
13, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,,2012-03-23T19:56:33.650000Z
14, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,,2012-03-23T20:38:26.500000Z
15, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,,2012-03-23T23:00:23.900000Z
16, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,2012-03-23T00:32:00.300000Z,
17, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,2012-03-23T15:46:52.150000Z,
18, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,2012-03-23T18:13:12.700000Z,
19, , ,UW, ,FISH,,45.9306,-123.5591,327.0, ,40.0,2012-03-23T00:00:00.000000Z, , , , , ,2012-03-23T22:56:49.825000Z,
