,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T00:11:56.498000Z
1, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T00:16:10.290000Z
2, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T00:25:03.570000Z
3, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T00:29:42.986000Z
4, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T00:55:34.954000Z
5, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T01:03:20.754000Z
6, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T01:17:00.034000Z
7, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T01:18:32.306000Z
8, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T01:18:42.058000Z
9, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T01:18:51.010000Z
10, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T01:20:16.410000Z
11, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T01:22:03.426000Z
12, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T01:28:52.898000Z
13, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T01:40:19.562000Z
14, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T01:40:48.906000Z
15, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T01:52:37.850000Z
16, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T01:54:59.850000Z
17, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T02:01:15.570000Z
18, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T02:16:30.170000Z
19, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T02:20:31.306000Z
20, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T02:29:16.666000Z
21, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T02:44:19.370000Z
22, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T02:47:37.026000Z
23, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T02:49:27.194000Z
24, , ,7D, ,FN14A,,47.024799,-124.964699,-173.0, ,125.0,2012-05-13T00:00:00.002000Z, , , , , ,,2012-05-13T02:50:51.082000Z
