,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
0, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,,2012-05-17T03:17:57.860000Z
1, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,,2012-05-17T05:17:11.635000Z
2, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,,2012-05-17T05:57:43.360000Z
3, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,,2012-05-17T08:26:07.985000Z
4, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,,2012-05-17T08:28:41.635000Z
5, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,,2012-05-17T14:54:37.110000Z
6, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,,2012-05-17T16:34:46.035000Z
7, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,,2012-05-17T16:57:09.860000Z
8, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,,2012-05-17T16:59:55.460000Z
9, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,,2012-05-17T18:48:38.685000Z
10, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,,2012-05-17T20:30:40.060000Z
11, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,,2012-05-17T20:32:26.035000Z
12, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,,2012-05-17T20:37:06.560000Z
13, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,,2012-05-17T20:39:39.285000Z
14, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,,2012-05-17T20:42:44.110000Z
15, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,,2012-05-17T20:47:32.260000Z
16, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,,2012-05-17T23:32:21.085000Z
17, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,2012-05-17T01:28:31.185000Z,
18, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,2012-05-17T04:34:44.685000Z,
19, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,2012-05-17T05:38:43.235000Z,
20, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,2012-05-17T05:57:47.260000Z,
21, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,2012-05-17T07:13:55.285000Z,
22, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,2012-05-17T07:26:28.060000Z,
23, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,2012-05-17T14:43:53.310000Z,
24, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,2012-05-17T16:49:00.760000Z,
25, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,2012-05-17T20:22:35.635000Z,
26, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,2012-05-17T20:39:44.485000Z,
27, , ,UW, ,FORK,,47.9475,-124.5662,44.9, ,40.0,2012-05-17T00:00:00.010000Z, , , , , ,2012-05-17T21:15:52.685000Z,
